CPU_%,Mem_Usage_Limit,Mem_%
2024-07-18 08:40:34,93.55%,24.6MiB / 503.5GiB,0.00%
2024-07-18 08:40:37,100.16%,24.55MiB / 503.5GiB,0.00%
2024-07-18 08:40:40,100.43%,25.14MiB / 503.5GiB,0.00%
2024-07-18 08:40:42,100.19%,25.14MiB / 503.5GiB,0.00%
2024-07-18 08:40:45,99.94%,25.12MiB / 503.5GiB,0.00%
2024-07-18 08:40:47,100.12%,25.12MiB / 503.5GiB,0.00%
2024-07-18 08:40:50,99.83%,25.13MiB / 503.5GiB,0.00%
2024-07-18 08:40:52,100.25%,25.12MiB / 503.5GiB,0.00%
2024-07-18 08:40:55,100.04%,25.25MiB / 503.5GiB,0.00%
2024-07-18 08:40:57,100.24%,25.12MiB / 503.5GiB,0.00%
2024-07-18 08:41:00,100.44%,25.25MiB / 503.5GiB,0.00%
2024-07-18 08:41:03,100.27%,25.12MiB / 503.5GiB,0.00%
2024-07-18 08:41:05,100.38%,25.38MiB / 503.5GiB,0.00%
2024-07-18 08:41:08,100.01%,25.25MiB / 503.5GiB,0.00%
2024-07-18 08:41:10,100.50%,25.38MiB / 503.5GiB,0.00%
2024-07-18 08:41:13,100.26%,25.13MiB / 503.5GiB,0.00%
2024-07-18 08:41:15,99.78%,25.58MiB / 503.5GiB,0.00%
2024-07-18 08:41:18,100.26%,25.46MiB / 503.5GiB,0.00%
2024-07-18 08:41:20,100.37%,25.46MiB / 503.5GiB,0.00%
2024-07-18 08:41:23,100.20%,25.58MiB / 503.5GiB,0.00%
2024-07-18 08:41:25,100.21%,24.82MiB / 503.5GiB,0.00%
2024-07-18 08:41:28,100.14%,24.82MiB / 503.5GiB,0.00%
2024-07-18 08:41:31,99.96%,24.82MiB / 503.5GiB,0.00%
2024-07-18 08:41:33,99.84%,24.82MiB / 503.5GiB,0.00%
2024-07-18 08:41:36,0.06%,22.83MiB / 503.5GiB,0.00%
2024-07-18 08:41:38,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-18 08:41:41,0.05%,22.95MiB / 503.5GiB,0.00%
