CPU_%,Mem_Usage_Limit,Mem_%
2024-07-16 06:49:15,76.54%,23.73MiB / 503.5GiB,0.00%
2024-07-16 06:49:17,86.98%,23.71MiB / 503.5GiB,0.00%
2024-07-16 06:49:20,92.45%,23.7MiB / 503.5GiB,0.00%
2024-07-16 06:49:23,84.97%,23.7MiB / 503.5GiB,0.00%
2024-07-16 06:49:25,84.94%,23.83MiB / 503.5GiB,0.00%
2024-07-16 06:49:28,84.59%,23.83MiB / 503.5GiB,0.00%
2024-07-16 06:49:30,85.05%,23.83MiB / 503.5GiB,0.00%
2024-07-16 06:49:33,85.40%,23.71MiB / 503.5GiB,0.00%
2024-07-16 06:49:35,84.38%,23.71MiB / 503.5GiB,0.00%
2024-07-16 06:49:38,76.06%,23.71MiB / 503.5GiB,0.00%
2024-07-16 06:49:40,84.94%,23.83MiB / 503.5GiB,0.00%
2024-07-16 06:49:43,85.20%,23.71MiB / 503.5GiB,0.00%
2024-07-16 06:49:45,85.03%,23.71MiB / 503.5GiB,0.00%
2024-07-16 06:49:48,88.24%,23.71MiB / 503.5GiB,0.00%
2024-07-16 06:49:51,85.44%,23.84MiB / 503.5GiB,0.00%
2024-07-16 06:49:53,85.28%,23.71MiB / 503.5GiB,0.00%
2024-07-16 06:49:56,90.92%,23.71MiB / 503.5GiB,0.00%
2024-07-16 06:49:58,86.83%,23.71MiB / 503.5GiB,0.00%
2024-07-16 06:50:01,92.82%,23.71MiB / 503.5GiB,0.00%
2024-07-16 06:50:03,86.21%,23.71MiB / 503.5GiB,0.00%
2024-07-16 06:50:06,85.26%,23.72MiB / 503.5GiB,0.00%
2024-07-16 06:50:08,87.38%,23.72MiB / 503.5GiB,0.00%
2024-07-16 06:50:11,77.44%,23.84MiB / 503.5GiB,0.00%
2024-07-16 06:50:14,76.64%,23.72MiB / 503.5GiB,0.00%
2024-07-16 06:50:16,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:50:19,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:50:21,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:50:24,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:50:26,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:50:29,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:50:31,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:50:34,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:50:36,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:50:39,0.03%,22.96MiB / 503.5GiB,0.00%
2024-07-16 06:50:42,0.00%,22.96MiB / 503.5GiB,0.00%
2024-07-16 06:50:44,0.03%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:50:47,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:50:49,0.08%,22.96MiB / 503.5GiB,0.00%
2024-07-16 06:50:52,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:50:54,0.12%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:50:57,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:51:00,0.25%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:51:02,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:51:05,0.15%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:51:07,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:51:10,0.22%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:51:12,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:51:15,0.23%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:51:17,0.00%,22.83MiB / 503.5GiB,0.00%
2024-07-16 06:51:20,0.23%,22.83MiB / 503.5GiB,0.00%
