Time,Container_ID,Name,CPU_%,Mem_Usage_Limit,Mem_%,Net_I_O,Block_I_O,PIDs
2024-07-14 14:11:33,791845a4e5c0,bgp_con1,182.63%,22.23MiB / 30MiB,74.10%,0B / 0B,0B / 16.4kB,22
2024-07-14 14:11:33,0db2c971277e,bgp_con2,179.66%,27.5MiB / 30MiB,91.65%,0B / 0B,8.19kB / 16.4kB,21
2024-07-14 14:11:36,791845a4e5c0,bgp_con1,169.30%,22.21MiB / 30MiB,74.02%,0B / 0B,0B / 16.4kB,22
2024-07-14 14:11:36,0db2c971277e,bgp_con2,178.90%,28.12MiB / 30MiB,93.74%,0B / 0B,8.19kB / 16.4kB,21
2024-07-14 14:11:39,791845a4e5c0,bgp_con1,175.92%,22.21MiB / 30MiB,74.02%,0B / 0B,0B / 16.4kB,22
2024-07-14 14:11:39,0db2c971277e,bgp_con2,178.10%,28.11MiB / 30MiB,93.71%,0B / 0B,8.19kB / 16.4kB,21
2024-07-14 14:11:42,791845a4e5c0,bgp_con1,180.61%,22.21MiB / 30MiB,74.02%,0B / 0B,0B / 16.4kB,22
2024-07-14 14:11:42,0db2c971277e,bgp_con2,179.79%,28.11MiB / 30MiB,93.71%,0B / 0B,8.19kB / 16.4kB,21
2024-07-14 14:11:45,791845a4e5c0,bgp_con1,175.82%,22.21MiB / 30MiB,74.02%,0B / 0B,0B / 16.4kB,22
2024-07-14 14:11:45,0db2c971277e,bgp_con2,178.28%,28.24MiB / 30MiB,94.13%,0B / 0B,8.19kB / 16.4kB,21
2024-07-14 14:11:48,791845a4e5c0,bgp_con1,90.74%,21.57MiB / 30MiB,71.89%,0B / 0B,0B / 16.4kB,19
2024-07-14 14:11:48,0db2c971277e,bgp_con2,89.79%,25.23MiB / 30MiB,84.10%,0B / 0B,8.19kB / 16.4kB,20
2024-07-14 14:11:51,791845a4e5c0,bgp_con1,88.30%,21.56MiB / 30MiB,71.88%,0B / 0B,0B / 16.4kB,19
2024-07-14 14:11:51,0db2c971277e,bgp_con2,89.49%,25.23MiB / 30MiB,84.09%,0B / 0B,8.19kB / 16.4kB,20
2024-07-14 14:11:54,791845a4e5c0,bgp_con1,88.79%,21.56MiB / 30MiB,71.88%,0B / 0B,0B / 16.4kB,19
2024-07-14 14:11:54,0db2c971277e,bgp_con2,89.52%,18.04MiB / 30MiB,60.13%,0B / 0B,16.4kB / 16.4kB,14
2024-07-14 14:11:57,791845a4e5c0,bgp_con1,88.00%,21.56MiB / 30MiB,71.88%,0B / 0B,0B / 16.4kB,19
2024-07-14 14:11:57,0db2c971277e,bgp_con2,89.58%,17.44MiB / 30MiB,58.13%,0B / 0B,16.4kB / 16.4kB,14
2024-07-14 14:12:00,791845a4e5c0,bgp_con1,87.66%,21.56MiB / 30MiB,71.88%,0B / 0B,0B / 16.4kB,19
2024-07-14 14:12:00,0db2c971277e,bgp_con2,89.11%,19.05MiB / 30MiB,63.50%,0B / 0B,24.6kB / 24.6kB,12
