Time,Container_ID,Name,CPU_%,Mem_Usage_Limit,Mem_%,Net_I_O,Block_I_O,PIDs
2024-07-14 14:16:52,6d59f9644f62,bgp_con1,83.23%,34.17MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 14:16:52,068b661f7310,bgp_con2,86.51%,37.22MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,21
2024-07-14 14:16:55,6d59f9644f62,bgp_con1,96.59%,34.17MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 14:16:55,068b661f7310,bgp_con2,91.23%,37.19MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,21
2024-07-14 14:16:58,6d59f9644f62,bgp_con1,88.33%,34.16MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 14:16:58,068b661f7310,bgp_con2,90.08%,37.19MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,21
2024-07-14 14:17:01,6d59f9644f62,bgp_con1,90.11%,34.15MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 14:17:01,068b661f7310,bgp_con2,90.26%,37.19MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,21
2024-07-14 14:17:04,6d59f9644f62,bgp_con1,88.42%,34.15MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 14:17:04,068b661f7310,bgp_con2,89.68%,37.19MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,21
2024-07-14 14:17:07,6d59f9644f62,bgp_con1,88.84%,34.16MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 14:17:07,068b661f7310,bgp_con2,90.11%,37.19MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,21
2024-07-14 14:17:10,6d59f9644f62,bgp_con1,88.50%,34.16MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 14:17:10,068b661f7310,bgp_con2,89.88%,37.19MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,21
2024-07-14 14:17:14,6d59f9644f62,bgp_con1,88.85%,34.16MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 14:17:14,068b661f7310,bgp_con2,89.87%,37.19MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,21
2024-07-14 14:17:17,6d59f9644f62,bgp_con1,88.94%,34.15MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 14:17:17,068b661f7310,bgp_con2,89.82%,37.2MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,21
