Time,Container_ID,Name,CPU_%,Mem_Usage_Limit,Mem_%,Net_I_O,Block_I_O,PIDs
2024-07-14 15:03:29,119d32535703,bgp_con1,89.93%,23.39MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:03:29,573d80a906a1,bgp_con2,89.15%,25.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:03:32,119d32535703,bgp_con1,87.85%,23.36MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:03:32,573d80a906a1,bgp_con2,89.02%,27.14MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:03:36,119d32535703,bgp_con1,91.36%,23.36MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:03:36,573d80a906a1,bgp_con2,89.13%,27.27MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:03:39,119d32535703,bgp_con1,90.82%,23.48MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:03:39,573d80a906a1,bgp_con2,89.48%,26.52MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:03:43,119d32535703,bgp_con1,90.20%,23.36MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:03:43,573d80a906a1,bgp_con2,89.25%,26.77MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:03:46,119d32535703,bgp_con1,88.67%,23.36MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:03:46,573d80a906a1,bgp_con2,88.57%,26.77MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:03:50,119d32535703,bgp_con1,88.16%,23.36MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:03:50,573d80a906a1,bgp_con2,89.23%,26.77MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:03:53,119d32535703,bgp_con1,88.62%,23.36MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:03:53,573d80a906a1,bgp_con2,89.05%,26.77MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:03:57,119d32535703,bgp_con1,88.52%,23.36MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:03:57,573d80a906a1,bgp_con2,89.16%,26.77MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:04:01,119d32535703,bgp_con1,88.49%,23.36MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:04:01,573d80a906a1,bgp_con2,89.11%,26.89MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:04:04,119d32535703,bgp_con1,88.80%,23.36MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:04:04,573d80a906a1,bgp_con2,89.02%,26.77MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:04:08,119d32535703,bgp_con1,88.28%,23.36MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:04:08,573d80a906a1,bgp_con2,89.04%,26.77MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:04:11,119d32535703,bgp_con1,88.70%,23.36MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:04:11,573d80a906a1,bgp_con2,89.33%,26.77MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:04:15,119d32535703,bgp_con1,88.51%,23.36MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:04:15,573d80a906a1,bgp_con2,89.20%,26.89MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:04:18,119d32535703,bgp_con1,88.77%,23.36MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:04:18,573d80a906a1,bgp_con2,89.22%,26.77MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:04:22,119d32535703,bgp_con1,88.74%,23.36MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:04:22,573d80a906a1,bgp_con2,89.10%,26.77MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:04:26,119d32535703,bgp_con1,88.93%,23.36MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
2024-07-14 15:04:26,573d80a906a1,bgp_con2,89.06%,26.89MiB / 503.5GiB,0.01%,0B / 0B,0B / 8.19kB,20
2024-07-14 15:04:29,119d32535703,bgp_con1,0.13%,22.68MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,16
2024-07-14 15:04:29,573d80a906a1,bgp_con2,31.05%,23.16MiB / 503.5GiB,0.00%,0B / 0B,0B / 8.19kB,19
