Time,Container_ID,Name,CPU_%,Mem_Usage_Limit,Mem_%,Net_I_O,Block_I_O,PIDs
2024-07-14 14:23:36,6d59f9644f62,bgp_con1,3122.55%,33.52MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:23:36,068b661f7310,bgp_con2,1986.99%,52.79MiB / 503.5GiB,0.01%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:23:40,6d59f9644f62,bgp_con1,3093.43%,33.51MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:23:40,068b661f7310,bgp_con2,2295.03%,71.18MiB / 503.5GiB,0.01%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:23:43,6d59f9644f62,bgp_con1,3056.45%,33.49MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:23:43,068b661f7310,bgp_con2,2514.63%,76.18MiB / 503.5GiB,0.01%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:23:47,6d59f9644f62,bgp_con1,3048.20%,33.49MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:23:47,068b661f7310,bgp_con2,2515.05%,77.8MiB / 503.5GiB,0.02%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:23:50,6d59f9644f62,bgp_con1,3070.41%,33.49MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:23:50,068b661f7310,bgp_con2,2494.88%,76.93MiB / 503.5GiB,0.01%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:23:54,6d59f9644f62,bgp_con1,3074.84%,33.62MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:23:54,068b661f7310,bgp_con2,2496.48%,75.8MiB / 503.5GiB,0.01%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:23:57,6d59f9644f62,bgp_con1,3091.68%,33.49MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:23:57,068b661f7310,bgp_con2,2476.92%,77.8MiB / 503.5GiB,0.02%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:24:01,6d59f9644f62,bgp_con1,3085.02%,33.49MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:24:01,068b661f7310,bgp_con2,2493.44%,79.18MiB / 503.5GiB,0.02%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:24:05,6d59f9644f62,bgp_con1,3068.33%,33.49MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:24:05,068b661f7310,bgp_con2,2454.97%,76.05MiB / 503.5GiB,0.01%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:24:08,6d59f9644f62,bgp_con1,3052.39%,33.49MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:24:08,068b661f7310,bgp_con2,2505.57%,79.31MiB / 503.5GiB,0.02%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:24:12,6d59f9644f62,bgp_con1,3078.15%,33.62MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:24:12,068b661f7310,bgp_con2,2500.90%,79.05MiB / 503.5GiB,0.02%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:24:15,6d59f9644f62,bgp_con1,3079.27%,33.49MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:24:15,068b661f7310,bgp_con2,2471.54%,79.05MiB / 503.5GiB,0.02%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:24:19,6d59f9644f62,bgp_con1,3078.83%,33.62MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:24:19,068b661f7310,bgp_con2,2458.36%,77.68MiB / 503.5GiB,0.02%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:24:22,6d59f9644f62,bgp_con1,3073.09%,33.62MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:24:22,068b661f7310,bgp_con2,2491.91%,76.3MiB / 503.5GiB,0.01%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:24:26,6d59f9644f62,bgp_con1,3080.40%,33.49MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:24:26,068b661f7310,bgp_con2,2514.70%,79.43MiB / 503.5GiB,0.02%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:24:29,6d59f9644f62,bgp_con1,3085.07%,33.49MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:24:29,068b661f7310,bgp_con2,2446.98%,79.3MiB / 503.5GiB,0.02%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:24:33,6d59f9644f62,bgp_con1,3078.45%,33.49MiB / 503.5GiB,0.01%,0B / 0B,0B / 41kB,50
2024-07-14 14:24:33,068b661f7310,bgp_con2,2517.28%,77.8MiB / 503.5GiB,0.02%,0B / 0B,0B / 49.2kB,51
2024-07-14 14:24:37,6d59f9644f62,bgp_con1,0.05%,22.89MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-14 14:24:37,068b661f7310,bgp_con2,0.02%,30.07MiB / 503.5GiB,0.01%,0B / 0B,0B / 49.2kB,19
