

"Host:","6b97e7e7c483",,,,"User:","root"
"Cmdline:","/usr/bin/dool --more --output /src/bgp/resource/frr_bgp_resource_1to2_1record.csv 1 60",,,,"Date:","05 Jul 2024 09:46:53 UTC"
"total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"procs",,,"load avg",,,"system"
"usr","sys","idl","wai","stl","read","writ","recv","send","used","free","cach","avai","run","blk","new","1m","5m","15m","time"
0.356,0.140,99.503,0.000,0,446491.559,7993595.339,0,0,11828248576,489978363904,19983159296,525307334656,2,0,14.260,23.330,10.850,5.700,Jul-05 09:46:53
0.164,0.133,99.703,0,0,0,1409024,0,0,11846291456,489960325120,19983155200,525289275392,0,0,42,23.330,10.850,5.700,Jul-05 09:46:54
0.508,0.203,99.288,0,0,0,3604480,0,0,11848060928,489958522880,19983187968,525287505920,1,0,12,21.460,10.670,5.670,Jul-05 09:46:55
0.321,0.149,99.531,0,0,0,1376256,0,0,11861655552,489944907776,19983208448,525273915392,1,0,21,21.460,10.670,5.670,Jul-05 09:46:56
0.328,0.070,99.601,0,0,0,2359296,0,0,11846287360,489960275968,19983208448,525289283584,0,0,13,21.460,10.670,5.670,Jul-05 09:46:57
0.063,0.039,99.898,0,0,0,5603328,0,0,11844292608,489962246144,19983233024,525291286528,0,0,7,21.460,10.670,5.670,Jul-05 09:46:58
5.497,30.838,63.665,0,0,0,2359296,640041504,634987226720,11915255808,489891278848,19983237120,525220319232,56,0,131,21.460,10.670,5.670,Jul-05 09:46:59
6.657,38.250,55.093,0,0,0,1212416,916423728,922170386320,11866345472,489940180992,19983245312,525269229568,56,0,0,24.390,11.460,5.950,Jul-05 09:47:00
6.543,39.499,53.958,0,0,0,3768320,1059231984,1090068265968,11875381248,489931112448,19983278080,525260197888,62,0,22,24.390,11.460,5.950,Jul-05 09:47:01
6.511,39.561,53.928,0,0,0,2326528,1128062496,1157392338576,11859374080,489947115520,19983282176,525279158272,56,0,13,24.390,11.460,5.950,Jul-05 09:47:02
6.740,39.016,54.244,0,0,0,4325376,1150090656,1157507266320,11889426432,489917030400,19983314944,525246124032,55,0,11,24.390,11.460,5.950,Jul-05 09:47:03
6.387,39.552,54.061,0,0,0,3833856,1185123600,1203595748736,11932454912,489873997824,19983319040,525203091456,58,0,0,24.390,11.460,5.950,Jul-05 09:47:04
6.594,38.758,54.648,0,0,0,4947968,1190970528,1191382069680,11881889792,489924534272,19983347712,525253656576,57,0,1,27.240,12.260,6.240,Jul-05 09:47:05
6.671,38.933,54.396,0,0,0,1441792,1243248864,1238771918672,11871158272,489935265792,19983347712,525264392192,59,0,0,27.240,12.260,6.240,Jul-05 09:47:06
6.760,38.892,54.347,0,0,0,2359296,1232166672,1233629981328,11876229120,489930166272,19983376384,525259321344,59,0,0,27.240,12.260,6.240,Jul-05 09:47:07
6.569,39.316,54.115,0,0,0,1998848,1296506064,1275956536432,11886706688,489915559936,19987505152,525248847872,56,0,55,27.240,12.260,6.240,Jul-05 09:47:08
6.568,39.362,54.070,0,0,0,2621440,1291544496,1277463894832,11859304448,489942896640,19987603456,525276237824,59,0,36,27.240,12.260,6.240,Jul-05 09:47:09
6.570,39.396,54.034,0,0,0,1212416,1344298328,1317469302136,11879587840,489922605056,19987611648,525255950336,61,0,0,29.860,13.060,6.530,Jul-05 09:47:10
6.507,39.625,53.868,0,0,0,6356992,1337781840,1312906809456,11917217792,489884934144,19987652608,525220950016,60,0,75,29.860,13.060,6.530,Jul-05 09:47:11
6.740,39.594,53.666,0,0,0,3702784,1352088672,1320539741184,11902345216,489899802624,19987656704,525232513024,57,0,23,29.860,13.060,6.530,Jul-05 09:47:12
6.322,39.740,53.938,0,0,0,2981888,1383482496,1352334567568,11862929408,489939181568,19987693568,525272608768,60,0,1,29.860,13.060,6.530,Jul-05 09:47:13
6.499,39.821,53.680,0,0,0,3702784,1468322064,1370523584496,11876687872,489925414912,19987701760,525258846208,61,0,0,29.860,13.060,6.530,Jul-05 09:47:14
6.979,39.655,53.366,0,0,0,40140800,1442710896,1351824554976,11869405184,489932664832,19987734528,525266128896,56,0,0,32.280,13.840,6.820,Jul-05 09:47:15
6.760,39.253,53.987,0,0,0,1474560,1413831936,1313892274096,11859001344,489943068672,19987734528,525276549120,63,0,0,32.280,13.840,6.820,Jul-05 09:47:16
6.393,39.729,53.877,0,0,0,2392064,1397468160,1301728235104,11873521664,489928523776,19987759104,525262028800,56,0,0,32.280,13.840,6.820,Jul-05 09:47:17
6.960,39.124,53.916,0,0,0,4325376,1405593024,1305813992976,11853656064,489948377088,19987771392,525281890304,60,0,0,32.280,13.840,6.820,Jul-05 09:47:18
6.829,39.434,53.738,0,0,0,2392064,1404994272,1305196299520,11880181760,489921814528,19987808256,525254676480,57,0,53,32.280,13.840,6.820,Jul-05 09:47:19
6.562,39.374,54.064,0,0,0,1212416,1400674704,1334178068352,11864203264,489937788928,19987812352,525270659072,58,0,0,34.340,14.570,7.090,Jul-05 09:47:20
7.095,38.954,53.951,0,0,0,3932160,1345021920,1254688099920,11858722816,489943236608,19987845120,525276835840,55,0,19,34.340,14.570,7.090,Jul-05 09:47:21
6.611,39.040,54.350,0,0,0,1409024,1330846176,1238446109152,11879895040,489922064384,19987845120,525255663616,58,0,0,34.340,14.570,7.090,Jul-05 09:47:22
6.586,39.038,54.376,0,0,0,3014656,1328266464,1235880888736,11876511744,489925419008,19987873792,525259046912,59,0,0,34.340,14.570,7.090,Jul-05 09:47:23
6.599,39.187,54.214,0,0,0,1441792,1340193648,1230703089840,11862593536,489939337216,19987873792,525272965120,58,0,3,34.340,14.570,7.090,Jul-05 09:47:24
6.625,39.107,54.268,0,0,0,3538944,1334646720,1229360202720,11855962112,489945939968,19987902464,525279596544,64,0,0,36.470,15.340,7.380,Jul-05 09:47:25
6.681,39.026,54.293,0,0,0,1409024,1310594352,1225499200080,11868577792,489933316096,19987910656,525266288640,60,0,0,36.470,15.340,7.380,Jul-05 09:47:26
6.635,39.542,53.823,0,0,0,2490368,1294699824,1243848108304,11874705408,489927163904,19987935232,525260849152,61,0,21,36.470,15.340,7.380,Jul-05 09:47:27
6.746,39.084,54.170,0,0,0,4292608,1369621536,1242476119440,11841638400,489960222720,19987943424,525293912064,55,0,2,36.470,15.340,7.380,Jul-05 09:47:28
7.177,39.167,53.656,0,0,0,2490368,1388112528,1274371829568,11853279232,489948536832,19987988480,525282267136,60,0,40,36.470,15.340,7.380,Jul-05 09:47:29
6.750,39.807,53.443,0,0,0,1212416,1422227232,1315102936672,11866144768,489935671296,19987988480,525269401600,58,0,0,38.520,16.120,7.670,Jul-05 09:47:30
7.010,39.884,53.107,0,0,0,3801088,1408011792,1312039585552,11891830784,489909952512,19988021248,525243719680,57,0,18,38.520,16.120,7.670,Jul-05 09:47:31
6.603,39.597,53.800,0,0,0,2490368,1429832976,1334371096912,11890348032,489911435264,19988021248,525245210624,56,0,0,38.520,16.120,7.670,Jul-05 09:47:32
6.573,39.609,53.818,0,0,0,4292608,1484699568,1358167988160,11840098304,489961656320,19988049920,525295460352,59,0,0,38.520,16.120,7.670,Jul-05 09:47:33
6.653,39.622,53.725,0,0,0,2326528,1509972288,1369771874112,11865554944,489936199680,19988049920,525270003712,58,0,3,38.520,16.120,7.670,Jul-05 09:47:34
6.672,40.405,52.923,0,0,0,4980736,1490311776,1388915493472,11845009408,489956712448,19988082688,525289861120,63,0,0,40.320,16.860,7.960,Jul-05 09:47:35
6.563,39.941,53.496,0,0,0,1441792,1467918144,1364891386192,11847680000,489954041856,19988082688,525287878656,54,0,0,40.320,16.860,7.960,Jul-05 09:47:36
6.740,39.281,53.980,0,0,0,2359296,1495203072,1349584024544,11838152704,489963536384,19988115456,525297405952,60,0,0,40.320,16.860,7.960,Jul-05 09:47:37
6.562,40.089,53.349,0,0,0,2949120,1515158304,1370094232480,11843592192,489958088704,19988123648,525291962368,57,0,55,40.320,16.860,7.960,Jul-05 09:47:38
6.970,39.497,53.533,0,0,0,2326528,1500629328,1360200146224,11844915200,489956732928,19988156416,525290643456,56,0,39,40.320,16.860,7.960,Jul-05 09:47:39
6.724,39.715,53.561,0,0,0,1245184,1481390064,1357216898160,11845160960,489956478976,19988164608,525290401792,55,0,0,41.570,17.510,8.220,Jul-05 09:47:40
6.795,39.487,53.717,0,0,0,3833856,1467955728,1338920131616,11873529856,489928077312,19988197376,525262118912,61,0,73,41.570,17.510,8.220,Jul-05 09:47:41
6.599,39.687,53.706,0.008,0,0,1376256,1501148352,1365893509392,11851464704,489950117888,19988221952,525284175872,57,0,1,41.570,17.510,8.220,Jul-05 09:47:42
6.779,39.684,53.537,0,0,0,3244032,1494352272,1361706160048,11819499520,489982078976,19988226048,525316141056,56,0,23,41.570,17.510,8.220,Jul-05 09:47:43
6.454,39.485,54.061,0,0,0,1409024,1499598144,1359326532864,11829411840,489972137984,19988254720,525306228736,58,0,0,41.570,17.510,8.220,Jul-05 09:47:44
6.882,39.501,53.616,0,0,0,3538944,1538798976,1388232001680,11837722624,489963819008,19988262912,525297909760,61,0,0,43.130,18.230,8.500,Jul-05 09:47:45
6.612,39.419,53.969,0,0,0,1376256,1526622240,1393340941808,11841875968,489959653376,19988275200,525293068288,61,0,0,43.130,18.230,8.500,Jul-05 09:47:46
6.726,39.924,53.351,0,0,0,25395200,1561742688,1424219501264,11837636608,489963868160,19988299776,525297991680,59,0,0,43.130,18.230,8.500,Jul-05 09:47:47
6.884,39.575,53.541,0,0,0,4521984,1544966016,1405489353488,11837140992,489964326912,19988336640,525298483200,60,0,0,43.130,18.230,8.500,Jul-05 09:47:48
6.831,40.234,52.935,0,0,0,2392064,1573642080,1418544734912,11855912960,489945554944,19988336640,525279719424,61,0,36,43.130,18.230,8.500,Jul-05 09:47:49
6.759,39.691,53.551,0,0,0,1212416,1608032112,1447126572176,11804504064,489996988416,19988344832,525331128320,58,0,0,44.400,18.910,8.770,Jul-05 09:47:50
6.695,39.882,53.423,0,0,0,3768320,1585906608,1419948892464,11824766976,489976692736,19988377600,525310177280,58,0,20,44.400,18.910,8.770,Jul-05 09:47:51
6.419,39.861,53.720,0,0,0,1376256,1573987104,1408397780416,11796217856,490005233664,19988385792,525339422720,60,0,0,44.400,18.910,8.770,Jul-05 09:47:52
