

"Host:","a162034a5888",,,,"User:","root"
"Cmdline:","/usr/bin/dool --more --output /src/bgp/resource/frr_bgp_resource_1to2_2record.csv 1 60",,,,"Date:","05 Jul 2024 09:46:53 UTC"
"total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"procs",,,"load avg",,,"system"
"usr","sys","idl","wai","stl","read","writ","recv","send","used","free","cach","avai","run","blk","new","1m","5m","15m","time"
0.356,0.140,99.503,0.000,0,446491.497,7993594.244,0,0,11850686464,489955921920,19983163392,525284892672,12,0,14.260,23.330,10.850,5.700,Jul-05 09:46:53
0.094,0.086,99.820,0,0,0,2588672,0,0,11846291456,489960325120,19983155200,525289275392,0,0,14,23.330,10.850,5.700,Jul-05 09:46:54
0.524,0.203,99.273,0,0,0,2424832,0,0,11847548928,489959038976,19983183872,525288022016,1,0,12,21.460,10.670,5.670,Jul-05 09:46:55
0.352,0.149,99.499,0,0,0,1376256,0,0,11866816512,489939746816,19983208448,525268754432,1,0,21,21.460,10.670,5.670,Jul-05 09:46:56
0.281,0.070,99.648,0,0,0,2359296,0,0,11846287360,489960275968,19983208448,525289283584,1,0,13,21.460,10.670,5.670,Jul-05 09:46:57
0.063,0.039,99.898,0,0,0,5603328,0,0,11844292608,489962246144,19983233024,525291286528,1,0,7,21.460,10.670,5.670,Jul-05 09:46:58
5.940,33.050,61.010,0,0,0,3538944,686594727312,691992480,11913138176,489893396480,19983237120,525221748736,52,0,131,21.460,10.670,5.670,Jul-05 09:46:59
6.627,38.425,54.948,0,0,0,3735552,935675207680,926989536,11898290176,489908236288,19983245312,525236596736,58,0,0,24.390,11.460,5.950,Jul-05 09:47:00
6.548,39.576,53.876,0,0,0,2392064,1094884419872,1064244288,11882422272,489924071424,19983278080,525252468736,61,0,22,24.390,11.460,5.950,Jul-05 09:47:01
6.498,39.521,53.981,0,0,0,3735552,1157858173088,1131405792,11877715968,489928773632,19983282176,525257834496,51,0,13,24.390,11.460,5.950,Jul-05 09:47:02
6.652,39.079,54.269,0,0,0,2883584,1159798728608,1152565392,11890270208,489916186624,19983314944,525245280256,59,0,11,24.390,11.460,5.950,Jul-05 09:47:03
6.481,39.484,54.035,0,0,0,6422528,1204882362672,1183364304,11897585664,489908867072,19983319040,525237960704,63,0,0,24.390,11.460,5.950,Jul-05 09:47:04
6.604,38.682,54.713,0,0,0,65536,1191202754864,1191159024,11902939136,489903484928,19983347712,525232607232,59,0,1,27.240,12.260,6.240,Jul-05 09:47:05
6.665,38.974,54.361,0,0,0,1441792,1241191075328,1249214208,11870466048,489935958016,19983347712,525265084416,60,0,0,27.240,12.260,6.240,Jul-05 09:47:06
6.718,38.952,54.330,0,0,0,2359296,1236079622016,1231698336,11883425792,489922969600,19983376384,525251436544,54,0,0,27.240,12.260,6.240,Jul-05 09:47:07
6.583,39.291,54.126,0,0,0,1998848,1277161781968,1299296016,11919294464,489882972160,19987505152,525216260096,57,0,55,27.240,12.260,6.240,Jul-05 09:47:08
6.550,39.426,54.025,0,0,0,3801088,1278728695088,1292381952,11859709952,489942491136,19987603456,525274456064,59,0,36,27.240,12.260,6.240,Jul-05 09:47:09
6.631,39.331,54.038,0,0,0,3801088,1318858158552,1348614680,11885256704,489916936192,19987611648,525249593344,60,0,0,29.860,13.060,6.530,Jul-05 09:47:10
6.491,39.609,53.900,0,0,0,2588672,1311965529312,1336704192,11911970816,489890181120,19987652608,525223575552,57,0,75,29.860,13.060,6.530,Jul-05 09:47:11
6.721,39.631,53.648,0,0,0,3702784,1322923195168,1353094512,11920171008,489881976832,19987656704,525214687232,59,0,23,29.860,13.060,6.530,Jul-05 09:47:12
6.347,39.742,53.911,0,0,0,2981888,1353009241312,1389337488,11878326272,489923784704,19987693568,525257211904,58,0,1,29.860,13.060,6.530,Jul-05 09:47:13
6.486,39.857,53.657,0,0,0,4882432,1371209366000,1469532240,11884605440,489917497344,19987701760,525250928640,59,0,0,29.860,13.060,6.530,Jul-05 09:47:14
7.013,39.568,53.419,0,0,0,38961152,1347663790976,1437485808,11878330368,489923739648,19987734528,525257211904,60,0,0,32.280,13.840,6.820,Jul-05 09:47:15
6.745,39.272,53.983,0,0,0,1474560,1314601138640,1415001456,11863789568,489938255872,19987759104,525271760896,61,0,0,32.280,13.840,6.820,Jul-05 09:47:16
6.393,39.713,53.893,0,0,0,2392064,1298960561776,1394628048,11851104256,489950941184,19987759104,525284446208,58,0,0,32.280,13.840,6.820,Jul-05 09:47:17
6.944,39.137,53.919,0,0,0,4358144,1307079398800,1407022848,11853889536,489948143616,19987771392,525281656832,58,0,0,32.280,13.840,6.820,Jul-05 09:47:18
6.826,39.414,53.760,0,0,0,3538944,1306597612768,1406591472,11897790464,489904205824,19987808256,525237755904,58,0,53,32.280,13.840,6.820,Jul-05 09:47:19
6.547,39.409,54.044,0,0,0,3768320,1335438795488,1399220592,11877302272,489924689920,19987812352,525258248192,60,0,0,34.340,14.570,7.090,Jul-05 09:47:20
7.067,38.972,53.961,0,0,0,196608,1248743274688,1341285264,11858997248,489942962176,19987845120,525276561408,57,0,19,34.340,14.570,7.090,Jul-05 09:47:21
6.653,38.975,54.371,0,0,0,1409024,1237680564656,1327700352,11871576064,489930383360,19987845120,525263294464,55,0,0,34.340,14.570,7.090,Jul-05 09:47:22
6.567,39.104,54.330,0,0,0,3014656,1236096740912,1328702352,11883229184,489918701568,19987873792,525251641344,57,0,0,34.340,14.570,7.090,Jul-05 09:47:23
6.578,39.186,54.236,0,0,0,2621440,1230606260864,1342837584,11869782016,489932148736,19987873792,525265776640,61,0,3,34.340,14.570,7.090,Jul-05 09:47:24
6.677,39.152,54.170,0,0,0,2359296,1227840845072,1333053744,11880796160,489921105920,19987902464,525254762496,58,0,0,36.470,15.340,7.380,Jul-05 09:47:25
6.647,38.977,54.377,0,0,0,1409024,1226940516272,1308850896,11884003328,489917890560,19987910656,525251551232,58,0,0,36.470,15.340,7.380,Jul-05 09:47:26
6.763,39.489,53.748,0,0,0,2490368,1245765121616,1301348928,11889676288,489912193024,19987935232,525245878272,61,0,21,36.470,15.340,7.380,Jul-05 09:47:27
6.848,39.000,54.152,0,0,0,4292608,1241869625360,1367793072,11842187264,489959673856,19987943424,525292675072,58,0,2,36.470,15.340,7.380,Jul-05 09:47:28
6.983,39.291,53.727,0,0,0,3670016,1277282321040,1390785264,11871838208,489929977856,19987988480,525263708160,60,0,40,36.470,15.340,7.380,Jul-05 09:47:29
6.742,39.823,53.435,0,0,0,3768320,1317534168640,1426227360,11872358400,489929457664,19987988480,525263187968,60,0,0,38.520,16.120,7.670,Jul-05 09:47:30
7.008,39.922,53.070,0,0,0,2359296,1312605603568,1407443136,11908595712,489893187584,19988021248,525226958848,59,0,18,38.520,16.120,7.670,Jul-05 09:47:31
6.612,39.547,53.840,0,0,0,3899392,1332939790864,1427568384,11918671872,489883111424,19988021248,525216886784,62,0,0,38.520,16.120,7.670,Jul-05 09:47:32
6.547,39.633,53.820,0,0,0,2916352,1360345918800,1489032336,11847839744,489953914880,19988049920,525287718912,62,0,0,38.520,16.120,7.670,Jul-05 09:47:33
6.676,39.664,53.660,0,0,0,2392064,1369541886880,1509974400,11867262976,489934487552,19988054016,525268295680,58,0,3,38.520,16.120,7.670,Jul-05 09:47:34
6.651,40.413,52.937,0,0,0,2588672,1391649475728,1489253664,11840413696,489961308160,19988082688,525294456832,64,0,0,40.320,16.860,7.960,Jul-05 09:47:35
6.543,39.860,53.598,0,0,0,1441792,1361687994080,1468526400,11849945088,489951776768,19988082688,525285613568,59,0,0,40.320,16.860,7.960,Jul-05 09:47:36
6.769,39.316,53.915,0,0,0,2359296,1351040107712,1497063216,11843788800,489957900288,19988115456,525291769856,61,0,0,40.320,16.860,7.960,Jul-05 09:47:37
6.608,40.132,53.260,0,0,0,2949120,1370138308176,1515298224,11847319552,489954361344,19988123648,525288235008,61,0,55,40.320,16.860,7.960,Jul-05 09:47:38
6.964,39.419,53.618,0,0,0,3506176,1359280619120,1495953888,11860512768,489941135360,19988156416,525275045888,62,0,39,40.320,16.860,7.960,Jul-05 09:47:39
6.699,39.756,53.545,0,0,0,3801088,1357022673888,1483368480,11854929920,489946710016,19988164608,525280632832,56,0,0,41.570,17.510,8.220,Jul-05 09:47:40
6.772,39.498,53.729,0,0,0,98304,1337718240144,1467057072,11882950656,489918656512,19988197376,525252698112,59,0,74,41.570,17.510,8.220,Jul-05 09:47:41
6.635,39.633,53.725,0.008,0,0,1376256,1367537555920,1503335328,11855314944,489946267648,19988221952,525280325632,60,0,0,41.570,17.510,8.220,Jul-05 09:47:42
6.763,39.679,53.557,0,0,0,3244032,1362713838256,1495212912,11843047424,489958531072,19988226048,525292593152,56,0,23,41.570,17.510,8.220,Jul-05 09:47:43
6.452,39.485,54.063,0,0,0,2588672,1358795044576,1499347344,11837632512,489963913216,19988258816,525297315840,59,0,0,41.570,17.510,8.220,Jul-05 09:47:44
6.869,39.498,53.633,0,0,0,2359296,1389339851152,1539648528,11854258176,489947283456,19988262912,525281374208,60,0,0,43.130,18.230,8.500,Jul-05 09:47:45
6.603,39.452,53.944,0,0,0,1376256,1394424375840,1528522512,11830165504,489971363840,19988275200,525305466880,56,0,0,43.130,18.230,8.500,Jul-05 09:47:46
6.732,39.909,53.358,0,0,0,25395200,1423655493888,1560423216,11834216448,489967284224,19988303872,525301411840,59,0,0,43.130,18.230,8.500,Jul-05 09:47:47
6.848,39.656,53.496,0,0,0,4521984,1406967502768,1547060064,11837919232,489963548672,19988336640,525297704960,59,0,0,43.130,18.230,8.500,Jul-05 09:47:48
6.884,40.146,52.969,0,0,0,3571712,1417311903056,1571891232,11844808704,489956659200,19988336640,525290823680,56,0,36,43.130,18.230,8.500,Jul-05 09:47:49
6.728,39.676,53.595,0,0,0,3768320,1449385885504,1611642048,11812798464,489988689920,19988348928,525322833920,59,0,0,44.400,18.910,8.770,Jul-05 09:47:50
6.668,39.978,53.354,0,0,0,32768,1418325919664,1583216976,11833057280,489968402432,19988377600,525302575104,56,0,20,44.400,18.910,8.770,Jul-05 09:47:51
6.473,39.836,53.691,0,0,0,1409024,1407538719888,1574879952,11791478784,490009956352,19988402176,525344161792,58,0,0,44.400,18.910,8.770,Jul-05 09:47:52
