

"Host:","e0cadafc5adb",,,,"User:","root"
"Cmdline:","/usr/bin/dool --more --output /src/frr_bgp_resource_1to2_1record.csv 1 60",,,,"Date:","03 Jul 2024 09:16:53 UTC"
"total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"procs",,,"load avg",,,"system"
"usr","sys","idl","wai","stl","read","writ","recv","send","used","free","cach","avai","run","blk","new","1m","5m","15m","time"
0.324,0.109,99.566,0.000,0,741267.913,7593553.560,0,0,15783514112,487614951424,18592600064,521351708672,2,0,13.744,1.960,1.170,1.160,Jul-03 09:16:53
0.172,0.148,99.680,0,0,0,2818048,0,0,15795871744,487602577408,18592616448,521339326464,1,0,45,1.960,1.170,1.160,Jul-03 09:16:54
0.070,0.047,99.883,0,0,0,6324224,0,0,15797342208,487601078272,18592645120,521337856000,0,0,11,1.960,1.170,1.160,Jul-03 09:16:55
0.188,0.078,99.734,0,0,0,2490368,0,0,15800111104,487598280704,18592673792,521335087104,0,0,0,1.800,1.150,1.150,Jul-03 09:16:56
0.274,0.047,99.680,0,0,0,7569408,0,0,15800320000,487598071808,18592673792,521334882304,2,0,2,1.800,1.150,1.150,Jul-03 09:16:57
0.094,0.078,99.828,0,0,0,2555904,0,0,15802572800,487595790336,18592702464,521332633600,0,0,11,1.800,1.150,1.150,Jul-03 09:16:58
1.409,1.221,97.370,0,0,0,7241728,22990008,34043104056,15809892352,487585837056,18595336192,521325305856,3,0,73,1.800,1.150,1.150,Jul-03 09:16:59
0.375,1.400,98.225,0,0,0,6881280,26993472,47216243760,15807594496,487588134912,18595336192,521327611904,2,0,0,1.800,1.150,1.150,Jul-03 09:17:00
0.477,1.447,98.076,0,0,0,4390912,53827488,47005161600,15808389120,487587311616,18595364864,521326817280,2,0,22,1.820,1.160,1.150,Jul-03 09:17:01
1.150,1.424,97.426,0,0,0,5701632,36182256,64330160464,15807315968,487588384768,18595364864,521327890432,2,0,0,1.820,1.160,1.150,Jul-03 09:17:02
0.328,1.399,98.272,0,0,0,4423680,35249808,64982322288,15809871872,487585800192,18595393536,521324646400,2,0,13,1.820,1.160,1.150,Jul-03 09:17:03
0.274,1.392,98.334,0,0,0,32833536,35241360,65001225168,15811403776,487584264192,18595397632,521323802624,3,0,13,1.820,1.160,1.150,Jul-03 09:17:04
0.508,1.455,98.036,0,0,0,3768320,35106720,64876262672,15812472832,487583162368,18595430400,521322045440,2,0,56,1.820,1.160,1.150,Jul-03 09:17:05
0.383,1.360,98.257,0,0,0,1441792,35274624,64964476112,15811129344,487584505856,18595430400,521324077056,2,0,2,1.830,1.180,1.160,Jul-03 09:17:06
0.618,1.345,98.037,0,0,0,2392064,35288352,65034301936,15832039424,487563563008,18595463168,521303162880,3,0,21,1.830,1.180,1.160,Jul-03 09:17:07
0.383,1.361,98.256,0,0,0,3932160,35227632,65000709904,15807414272,487588179968,18595471360,521327783936,3,0,2,1.830,1.180,1.160,Jul-03 09:17:08
0.611,1.448,97.941,0,0,0,4128768,35308416,64993352240,15808798720,487586762752,18595504128,521326407680,2,0,38,1.830,1.180,1.160,Jul-03 09:17:09
0.273,1.477,98.250,0,0,0,3768320,35348544,64995452560,15808462848,487587090432,18595512320,521326743552,2,0,0,1.830,1.180,1.160,Jul-03 09:17:10
