

"Host:","01e45d4f2b10",,,,"User:","root"
"Cmdline:","/usr/bin/dool --more --output /src/frr_bgp_resource_1to2_2record.csv 1 60",,,,"Date:","03 Jul 2024 09:16:53 UTC"
"total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"procs",,,"load avg",,,"system"
"usr","sys","idl","wai","stl","read","writ","recv","send","used","free","cach","avai","run","blk","new","1m","5m","15m","time"
0.324,0.109,99.566,0.000,0,741267.744,7593551.830,0,0,15793790976,487604666368,18592608256,521341427712,1,0,13.745,1.960,1.170,1.160,Jul-03 09:16:53
0.117,0.102,99.781,0,0,0,2818048,0,0,15795822592,487602626560,18592616448,521339375616,0,0,15,1.960,1.170,1.160,Jul-03 09:16:54
0.063,0.047,99.891,0,0,0,6324224,0,0,15797342208,487601078272,18592645120,521337856000,0,0,11,1.960,1.170,1.160,Jul-03 09:16:55
0.203,0.078,99.718,0,0,0,2490368,0,0,15800111104,487598280704,18592673792,521335087104,0,0,0,1.800,1.150,1.150,Jul-03 09:16:56
0.266,0.047,99.687,0,0,0,7569408,0,0,15800623104,487597768704,18592673792,521334579200,0,0,2,1.800,1.150,1.150,Jul-03 09:16:57
0.086,0.078,99.836,0,0,0,2555904,0,0,15802572800,487595790336,18592702464,521332633600,1,0,12,1.800,1.150,1.150,Jul-03 09:16:58
1.464,1.300,97.237,0,0,0,7241728,36789272456,24647400,15809228800,487586500608,18595336192,521325969408,3,0,72,1.800,1.150,1.150,Jul-03 09:16:59
0.360,1.439,98.202,0,0,0,6881280,47165836080,26857776,15811571712,487584157696,18595336192,521323634688,3,0,0,1.800,1.150,1.150,Jul-03 09:17:00
0.461,1.408,98.131,0,0,0,4423680,47949783792,54707136,15807623168,487588077568,18595364864,521327583232,2,0,22,1.820,1.160,1.150,Jul-03 09:17:01
1.166,1.416,97.418,0,0,0,5668864,64406293792,35806848,15807127552,487588573184,18595364864,521328078848,2,0,0,1.820,1.160,1.150,Jul-03 09:17:02
0.313,1.392,98.296,0,0,0,4423680,64986522928,35240832,15809396736,487586275328,18595393536,521325809664,2,0,13,1.820,1.160,1.150,Jul-03 09:17:03
0.289,1.416,98.295,0,0,0,32866304,65001231712,35238720,15812272128,487583395840,18595397632,521322934272,3,0,13,1.820,1.160,1.150,Jul-03 09:17:04
0.516,1.439,98.045,0,0,0,3735552,64855252928,35099328,15812325376,487583309824,18595430400,521322881024,2,0,56,1.820,1.160,1.150,Jul-03 09:17:05
0.344,1.368,98.288,0,0,0,1507328,64994402400,35303664,15811244032,487584391168,18595430400,521323962368,2,0,2,1.830,1.180,1.160,Jul-03 09:17:06
