

"Host:","0b8aa6827ce5",,,,"User:","root"
"Cmdline:","/usr/bin/dool --more --output /src/frr_ospf_resource_1to3_1record.csv 1 60",,,,"Date:","03 Jul 2024 05:52:17 UTC"
"total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"procs",,,"load avg",,,"system"
"usr","sys","idl","wai","stl","read","writ","recv","send","used","free","cach","avai","run","blk","new","1m","5m","15m","time"
0.315,0.108,99.577,0.000,0,774033.192,7530221.931,0,0,10401529856,493190574080,18418147328,526733905920,3,0,13.508,0.980,1.030,0.950,Jul-03 05:52:17
0.156,0.227,99.617,0,0,0,6651904,0,0,10410409984,493181538304,18418188288,526725013504,0,0,48,0.980,1.030,0.950,Jul-03 05:52:18
0.461,0.055,99.484,0,0,0,66224128,0,0,10410987520,493180956672,18418192384,526724435968,0,0,7,0.980,1.030,0.950,Jul-03 05:52:19
0.399,0.156,99.445,0,0,0,2621440,0,0,10409275392,493182640128,18418221056,526726144000,0,0,50,0.980,1.030,0.950,Jul-03 05:52:20
0.094,0.055,99.844,0.008,0,0,2392064,0,0,10415730688,493176184832,18418221056,526719696896,3,0,16,0.980,1.030,0.950,Jul-03 05:52:21
0.735,0.180,99.085,0,0,0,8323072,0,656,10414022656,493177868288,18418245632,526721417216,0,0,15,0.900,1.010,0.940,Jul-03 05:52:22
0.524,1.079,98.396,0,0,0,2293760,14437840,24519715088,10424713216,493164494848,18420871168,526710722560,2,0,34,0.900,1.010,0.940,Jul-03 05:52:23
0.508,1.228,98.264,0,0,0,1409024,44732688,36802335392,10426126336,493163053056,18420899840,526709309440,2,0,55,0.900,1.010,0.940,Jul-03 05:52:24
0.438,1.181,98.381,0,0,0,3571712,57528768,38844361696,10424795136,493164380160,18420903936,526710640640,2,0,0,0.900,1.010,0.940,Jul-03 05:52:25
0.571,1.189,98.241,0,0,0,1376256,41358240,45080207760,10429349888,493159792640,18420936704,526706491392,2,0,0,0.900,1.010,0.940,Jul-03 05:52:26
0.579,1.353,98.068,0,0,0,4980736,39876800,53664226160,10430492672,493158612992,18420940800,526704824320,2,0,13,0.990,1.020,0.950,Jul-03 05:52:27
0.532,1.150,98.319,0,0,0,4915200,39786192,53692052464,10430312448,493158764544,18420969472,526705004544,2,0,11,0.990,1.020,0.950,Jul-03 05:52:28
0.852,1.110,98.038,0,0,0,2424832,39655968,53527183552,10429243392,493159829504,18420973568,526706073600,2,0,0,0.990,1.020,0.950,Jul-03 05:52:29
0.978,1.330,97.692,0,0,0,330432512,41567856,53308737392,10440912896,493148790784,18420310016,526694391808,3,0,37,0.990,1.020,0.950,Jul-03 05:52:30
1.135,1.260,97.605,0,0,0,3407872,42061536,53634299872,10439389184,493150310400,18420314112,526695923712,5,0,38,0.990,1.020,0.950,Jul-03 05:52:31
0.806,1.243,97.951,0,0,0,6160384,42245808,53626414512,10442375168,493147291648,18420346880,526692978688,3,0,3,1.070,1.040,0.950,Jul-03 05:52:32
0.532,1.189,98.279,0,0,0,3702784,42084240,53629577424,10442153984,493147504640,18420355072,526693195776,2,0,0,1.070,1.040,0.950,Jul-03 05:52:33
0.438,1.227,98.335,0,0,0,1933312,41878848,53713055328,10441977856,493147656192,18420379648,526693371904,2,0,0,1.070,1.040,0.950,Jul-03 05:52:34
0.414,1.212,98.374,0,0,0,5406720,42038832,53736687200,10441715712,493147914240,18420383744,526693634048,2,0,0,1.070,1.040,0.950,Jul-03 05:52:35
0.774,1.173,98.053,0,0,0,3342336,41982864,53632196912,10441986048,493147607040,18420420608,526693355520,2,0,0,1.070,1.040,0.950,Jul-03 05:52:36
0.547,1.165,98.288,0,0,0,5046272,42055856,53672627440,10442813440,493146775552,18420424704,526691835904,2,0,0,1.150,1.060,0.960,Jul-03 05:52:37
0.469,1.220,98.311,0,0,0,6651904,41811792,53725657248,10442641408,493146914816,18420457472,526692007936,2,0,0,1.150,1.060,0.960,Jul-03 05:52:38
0.477,1.181,98.342,0,0,0,3866624,42316560,53653724560,10441281536,493148274688,18420457472,526693371904,2,0,0,1.150,1.060,0.960,Jul-03 05:52:39
0.743,1.251,98.006,0,0,0,4816896,42098496,53737215552,10445770752,493143744512,18420498432,526690623488,2,0,38,1.150,1.060,0.960,Jul-03 05:52:40
0.500,1.220,98.280,0,0,0,4784128,41618016,53899462000,10446737408,493142777856,18420498432,526688608256,5,0,16,1.150,1.060,0.960,Jul-03 05:52:41
0.657,1.196,98.147,0,0,0,7995392,41712528,53894211856,10441797632,493147684864,18420531200,526693548032,2,0,5,1.450,1.120,0.980,Jul-03 05:52:42
0.658,1.198,98.144,0,0,0,4227072,41391792,53861139680,10441555968,493147918336,18420539392,526693789696,2,0,0,1.450,1.120,0.980,Jul-03 05:52:43
0.461,1.188,98.350,0,0,0,2654208,41369856,53977695648,10440683520,493148758016,18420572160,526694658048,2,0,0,1.450,1.120,0.980,Jul-03 05:52:44
1.071,1.189,97.740,0,0,0,6389760,41553072,53923622224,10441662464,493147774976,18420576256,526693679104,2,0,0,1.450,1.120,0.980,Jul-03 05:52:45
0.868,1.205,97.927,0,0,0,2523136,41832384,53890010560,10441842688,493147561984,18420609024,526693330944,2,0,23,1.450,1.120,0.980,Jul-03 05:52:46
0.587,1.346,98.068,0,0,0,4653056,41852048,53830673248,10443563008,493145837568,18420613120,526691778560,3,0,55,1.740,1.190,1,Jul-03 05:52:47
0.719,1.219,98.062,0,0,0,5570560,41604288,53929394832,10444271616,493145096192,18420645888,526691074048,2,0,0,1.740,1.190,1,Jul-03 05:52:48
0.493,1.141,98.366,0,0,0,3670016,41450112,53986096928,10443673600,493145690112,18420649984,526691676160,2,0,1,1.740,1.190,1,Jul-03 05:52:49
0.719,1.360,97.920,0,0,0,55083008,41741040,54011829120,10443800576,493145554944,18420649984,526691549184,2,0,39,1.740,1.190,1,Jul-03 05:52:50
0.485,1.228,98.287,0,0,0,2359296,38204304,53619069616,10449379328,493139939328,18420686848,526685966336,5,0,16,1.740,1.190,1,Jul-03 05:52:51
0.883,1.274,97.842,0,0,0,4292608,39507072,53811249216,10448969728,493140320256,18420715520,526686384128,2,0,3,1.760,1.200,1.010,Jul-03 05:52:52
0.493,1.291,98.217,0,0,0,2424832,39418896,53875836672,10448719872,493140566016,18420719616,526686633984,2,0,0,1.760,1.200,1.010,Jul-03 05:52:53
0.485,1.220,98.296,0,0,0,1376256,39588384,53886853536,10450010112,493139251200,18420744192,526685343744,2,0,56,1.760,1.200,1.010,Jul-03 05:52:54
0.453,1.180,98.366,0,0,0,3702784,39553008,53882665984,10449772544,493139484672,18420748288,526685581312,2,0,0,1.760,1.200,1.010,Jul-03 05:52:55
0.555,1.141,98.304,0,0,0,1376256,39739392,53884753216,10448969728,493140262912,18420772864,526686384128,2,0,2,1.760,1.200,1.010,Jul-03 05:52:56
0.610,1.282,98.108,0,0,0,2981888,38340320,53750867632,10449768448,493139460096,18420776960,526685585408,2,0,0,1.860,1.230,1.020,Jul-03 05:52:57
0.461,1.189,98.350,0,0,0,3735552,41561520,53917314720,10450173952,493139021824,18420809728,526685179904,2,0,0,1.860,1.230,1.020,Jul-03 05:52:58
0.571,1.228,98.201,0,0,0,2424832,40872480,53991876080,10448609280,493140582400,18420813824,526686744576,2,0,0,1.860,1.230,1.020,Jul-03 05:52:59
1.211,1.391,97.398,0,0,0,4915200,40817616,53970902512,10445209600,493143949312,18420846592,526690144256,2,0,38,1.860,1.230,1.020,Jul-03 05:53:00
0.656,1.313,98.031,0,0,0,3342336,41136480,53930966800,10454048768,493135110144,18420846592,526681305088,6,0,16,1.860,1.230,1.020,Jul-03 05:53:01
1.697,1.267,97.037,0,0,0,4358144,40614816,53449472368,10443485184,493145632768,18420887552,526691868672,2,0,25,1.950,1.260,1.030,Jul-03 05:53:02
0.540,1.189,98.272,0,0,0,2392064,40635936,53821743616,10444324864,493144788992,18420891648,526691028992,2,0,0,1.950,1.260,1.030,Jul-03 05:53:03
0.516,1.181,98.303,0,0,0,3702784,40954848,53731442944,10443534336,493145579520,18420891648,526691819520,2,0,0,1.950,1.260,1.030,Jul-03 05:53:04
0.657,1.181,98.163,0,0,0,3571712,40929264,53653742688,10442846208,493146238976,18420920320,526692507648,3,0,0,1.950,1.260,1.030,Jul-03 05:53:05
0.547,1.134,98.319,0,0,0,1572864,41200368,53704654048,10442747904,493146308608,18420948992,526692605952,2,0,0,1.950,1.260,1.030,Jul-03 05:53:06
0.524,1.149,98.327,0,0,0,2916352,41152448,53700459952,10443018240,493146038272,18420948992,526692335616,2,0,0,1.960,1.270,1.040,Jul-03 05:53:07
0.508,1.181,98.311,0,0,0,3735552,41130672,53653724560,10442579968,493146443776,18420981760,526692773888,2,0,0,1.960,1.270,1.040,Jul-03 05:53:08
0.500,1.173,98.327,0,0,0,2326528,40939536,53729857888,10442854400,493146165248,18420985856,526692495360,2,0,0,1.960,1.270,1.040,Jul-03 05:53:09
0.735,1.275,97.990,0,0,0,4915200,41408400,53727235760,10444939264,493144043520,18421022720,526690410496,2,0,36,1.960,1.270,1.040,Jul-03 05:53:10
0.923,1.298,97.780,0,0,0,2719744,41269536,53647951952,10446331904,493142630400,18421043200,526689005568,5,0,15,1.960,1.270,1.040,Jul-03 05:53:11
0.954,1.173,97.874,0,0,0,4325376,41091072,53757162704,10441302016,493147623424,18421080064,526694035456,2,0,3,1.960,1.290,1.040,Jul-03 05:53:12
0.947,1.228,97.825,0,0,0,2392064,41376000,53645323616,10443010048,493145915392,18421080064,526692331520,2,0,3,1.960,1.290,1.040,Jul-03 05:53:13
0.430,1.181,98.388,0,0,0,1441792,41182944,53740366032,10443554816,493145341952,18421108736,526691799040,2,0,0,1.960,1.290,1.040,Jul-03 05:53:14
0.860,1.274,97.866,0,0,0,3506176,41359296,53730379696,10442731520,493146157056,18421116928,526692618240,2,0,0,1.960,1.290,1.040,Jul-03 05:53:15
0.618,1.134,98.249,0,0,0,1409024,41130144,53699409792,10434834432,493154025472,18421145600,526700511232,3,0,0,1.960,1.290,1.040,Jul-03 05:53:16
