

"Host:","0a0cbf2b6e84",,,,"User:","root"
"Cmdline:","/usr/bin/dool --more --output /src/frr_ospf_resource_1to3_2record.csv 1 60",,,,"Date:","03 Jul 2024 05:52:17 UTC"
"total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"procs",,,"load avg",,,"system"
"usr","sys","idl","wai","stl","read","writ","recv","send","used","free","cach","avai","run","blk","new","1m","5m","15m","time"
0.315,0.108,99.577,0.000,0,774032.945,7530219.531,0,0,10412806144,493179297792,18418147328,526722629632,4,0,13.508,0.980,1.030,0.950,Jul-03 05:52:17
0.109,0.125,99.766,0,0,0,6651904,0,0,10410409984,493181538304,18418188288,526725013504,32,0,20,0.980,1.030,0.950,Jul-03 05:52:18
0.453,0.063,99.484,0,0,0,66224128,0,0,10410967040,493180977152,18418192384,526724456448,0,0,7,0.980,1.030,0.950,Jul-03 05:52:19
0.391,0.149,99.461,0,0,0,2621440,0,0,10409275392,493182640128,18418221056,526726144000,0,0,50,0.980,1.030,0.950,Jul-03 05:52:20
0.164,0.078,99.750,0.008,0,0,2392064,0,0,10418503680,493173407744,18418225152,526716919808,1,0,18,0.980,1.030,0.950,Jul-03 05:52:21
0.672,0.172,99.156,0,0,0,8323072,1312,0,10414002176,493177888768,18418245632,526721437696,0,0,13,0.900,1.010,0.940,Jul-03 05:52:22
0.555,1.158,98.287,0,0,0,2293760,27121502064,27122023344,10425024512,493164183552,18420871168,526710411264,2,0,34,0.900,1.010,0.940,Jul-03 05:52:23
0.501,1.212,98.287,0,0,0,1409024,37166736192,37166213856,10425921536,493163257856,18420899840,526709514240,2,0,55,0.900,1.010,0.940,Jul-03 05:52:24
0.430,1.196,98.373,0,0,0,3571712,40121484528,40122006864,10425286656,493163888640,18420903936,526710149120,2,0,0,0.900,1.010,0.940,Jul-03 05:52:25
0.563,1.204,98.233,0,0,0,1376256,45072068880,45072074896,10429308928,493159833600,18420936704,526706008064,3,0,0,0.900,1.010,0.940,Jul-03 05:52:26
0.594,1.330,98.076,0,0,0,4980736,53697282704,53697277472,10430509056,493158596608,18420940800,526704807936,2,0,13,0.990,1.020,0.950,Jul-03 05:52:27
0.555,1.142,98.303,0,0,0,4980736,53736026624,53736033696,10430615552,493158461440,18420969472,526705045504,2,0,11,0.990,1.020,0.950,Jul-03 05:52:28
0.813,1.126,98.061,0,0,0,2359296,53562667392,53562660320,10429546496,493159526400,18420973568,526705770496,3,0,0,0.990,1.020,0.950,Jul-03 05:52:29
1.040,1.330,97.630,0,0,0,330432512,53347307888,53347314432,10447773696,493141929984,18420310016,526687539200,3,0,40,0.990,1.020,0.950,Jul-03 05:52:30
1.150,1.260,97.590,0,0,0,3407872,53658491264,53658484720,10444288000,493145411584,18420314112,526691024896,3,0,37,0.990,1.020,0.950,Jul-03 05:52:31
0.751,1.244,98.006,0,0,0,6160384,53684419184,53683902080,10443046912,493146619904,18420346880,526692306944,2,0,1,1.070,1.040,0.950,Jul-03 05:52:32
0.524,1.173,98.303,0,0,0,3702784,53685291360,53685291888,10442801152,493146857472,18420355072,526692548608,3,0,0,1.070,1.040,0.950,Jul-03 05:52:33
0.430,1.242,98.328,0,0,0,1933312,53755473824,53755989616,10441400320,493148233728,18420379648,526693949440,2,0,0,1.070,1.040,0.950,Jul-03 05:52:34
0.422,1.204,98.373,0,0,0,5406720,53774538912,53774023648,10441699328,493147930624,18420383744,526693650432,2,0,0,1.070,1.040,0.950,Jul-03 05:52:35
