Time,Container_ID,Name,CPU_%,Mem_Usage_Limit,Mem_%,Net_I_O,Block_I_O,PIDs
2024-07-15 00:31:31,682bb48c178b,ospf_1,0.00%,21.48MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:31,7bb45ab0deb5,ospf_2,0.01%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:31,a1ddd643296e,ospf_3,0.01%,21.84MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,19
2024-07-15 00:31:31,682bb48c178b,ospf_1,0.00%,21.48MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:31,7bb45ab0deb5,ospf_2,0.01%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:31,a1ddd643296e,ospf_3,0.01%,21.84MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,19
2024-07-15 00:31:33,682bb48c178b,ospf_1,88.43%,22.15MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:33,7bb45ab0deb5,ospf_2,0.03%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:33,a1ddd643296e,ospf_3,87.54%,24.15MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
2024-07-15 00:31:35,682bb48c178b,ospf_1,94.13%,22.15MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:35,7bb45ab0deb5,ospf_2,0.01%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:35,a1ddd643296e,ospf_3,90.48%,24.14MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
2024-07-15 00:31:35,682bb48c178b,ospf_1,94.13%,22.15MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:35,7bb45ab0deb5,ospf_2,0.01%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:35,a1ddd643296e,ospf_3,90.48%,24.14MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
2024-07-15 00:31:36,682bb48c178b,ospf_1,88.29%,22.15MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:36,7bb45ab0deb5,ospf_2,0.01%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:36,a1ddd643296e,ospf_3,89.44%,24.64MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
2024-07-15 00:31:38,682bb48c178b,ospf_1,80.53%,22.15MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:38,682bb48c178b,ospf_1,80.53%,22.15MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:38,7bb45ab0deb5,ospf_2,0.04%,21.64MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:38,a1ddd643296e,ospf_3,88.79%,24.77MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
2024-07-15 00:31:38,7bb45ab0deb5,ospf_2,0.04%,21.64MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:38,a1ddd643296e,ospf_3,88.79%,24.77MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
2024-07-15 00:31:39,682bb48c178b,ospf_1,86.58%,22.15MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:39,7bb45ab0deb5,ospf_2,0.28%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:39,a1ddd643296e,ospf_3,89.32%,25.02MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
2024-07-15 00:31:41,682bb48c178b,ospf_1,90.06%,22.15MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:41,682bb48c178b,ospf_1,90.06%,22.15MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:41,7bb45ab0deb5,ospf_2,0.00%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:41,a1ddd643296e,ospf_3,89.62%,25.02MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
2024-07-15 00:31:41,7bb45ab0deb5,ospf_2,0.00%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:41,a1ddd643296e,ospf_3,89.62%,25.02MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
2024-07-15 00:31:42,682bb48c178b,ospf_1,91.05%,22.15MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:42,7bb45ab0deb5,ospf_2,0.00%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:42,a1ddd643296e,ospf_3,89.90%,25.02MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
2024-07-15 00:31:44,682bb48c178b,ospf_1,88.43%,22.14MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:44,7bb45ab0deb5,ospf_2,0.35%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:44,a1ddd643296e,ospf_3,89.35%,24.89MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
2024-07-15 00:31:44,682bb48c178b,ospf_1,88.43%,22.14MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:44,7bb45ab0deb5,ospf_2,0.35%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:44,a1ddd643296e,ospf_3,89.35%,24.89MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
2024-07-15 00:31:45,682bb48c178b,ospf_1,88.01%,22.14MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:45,7bb45ab0deb5,ospf_2,0.01%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:45,a1ddd643296e,ospf_3,89.37%,24.89MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
2024-07-15 00:31:47,682bb48c178b,ospf_1,87.88%,22.14MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:47,7bb45ab0deb5,ospf_2,0.01%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:47,682bb48c178b,ospf_1,87.88%,22.14MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:47,a1ddd643296e,ospf_3,89.27%,24.89MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
2024-07-15 00:31:47,7bb45ab0deb5,ospf_2,0.01%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:47,a1ddd643296e,ospf_3,89.27%,24.89MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
2024-07-15 00:31:48,682bb48c178b,ospf_1,88.04%,22.27MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:48,7bb45ab0deb5,ospf_2,0.03%,21.64MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:48,a1ddd643296e,ospf_3,89.37%,25.02MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
2024-07-15 00:31:50,682bb48c178b,ospf_1,88.13%,22.27MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:50,682bb48c178b,ospf_1,88.13%,22.27MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,19
2024-07-15 00:31:50,7bb45ab0deb5,ospf_2,0.01%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:50,7bb45ab0deb5,ospf_2,0.01%,21.52MiB / 503.5GiB,0.00%,0B / 0B,0B / 41kB,16
2024-07-15 00:31:50,a1ddd643296e,ospf_3,89.33%,24.89MiB / 503.5GiB,0.00%,0B / 0B,0B / 32.8kB,20
