Time,Container_ID,Name,CPU_%,Mem_Usage_Limit,Mem_%
2024-07-16 05:26:31,[2J[H0335fff64a83,ospf_1,97.52%,27.44MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,af19ebc1b42b,ospf_2,0.00%,21.54MiB / 503.5GiB,0.00%
2024-07-16 05:26:31,18708dc1ae17,ospf_3,0.01%,31.36MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,[2J[H0335fff64a83,ospf_1,97.52%,27.44MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,af19ebc1b42b,ospf_2,0.00%,21.54MiB / 503.5GiB,0.00%
2024-07-16 05:26:31,18708dc1ae17,ospf_3,0.01%,31.36MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,[2J[H0335fff64a83,ospf_1,94.75%,27.43MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,af19ebc1b42b,ospf_2,0.06%,21.67MiB / 503.5GiB,0.00%
2024-07-16 05:26:31,18708dc1ae17,ospf_3,100.05%,32.24MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,[2J[H0335fff64a83,ospf_1,94.75%,27.43MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,af19ebc1b42b,ospf_2,0.06%,21.67MiB / 503.5GiB,0.00%
2024-07-16 05:26:31,18708dc1ae17,ospf_3,100.05%,32.24MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,[2J[H0335fff64a83,ospf_1,94.12%,27.68MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,af19ebc1b42b,ospf_2,0.11%,21.54MiB / 503.5GiB,0.00%
2024-07-16 05:26:31,18708dc1ae17,ospf_3,99.98%,32.24MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,[2J[H0335fff64a83,ospf_1,94.12%,27.68MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,af19ebc1b42b,ospf_2,0.11%,21.54MiB / 503.5GiB,0.00%
2024-07-16 05:26:31,18708dc1ae17,ospf_3,99.98%,32.24MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,[2J[H0335fff64a83,ospf_1,100.11%,27.56MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,af19ebc1b42b,ospf_2,0.01%,21.54MiB / 503.5GiB,0.00%
2024-07-16 05:26:31,18708dc1ae17,ospf_3,100.15%,32.29MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,[2J[H0335fff64a83,ospf_1,100.11%,27.56MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,af19ebc1b42b,ospf_2,0.01%,21.54MiB / 503.5GiB,0.00%
2024-07-16 05:26:31,18708dc1ae17,ospf_3,100.15%,32.29MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,[2J[H0335fff64a83,ospf_1,100.18%,27.45MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,af19ebc1b42b,ospf_2,0.02%,21.54MiB / 503.5GiB,0.00%
2024-07-16 05:26:31,18708dc1ae17,ospf_3,100.44%,32.16MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,[2J[H0335fff64a83,ospf_1,100.18%,27.45MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,af19ebc1b42b,ospf_2,0.02%,21.54MiB / 503.5GiB,0.00%
2024-07-16 05:26:31,18708dc1ae17,ospf_3,100.44%,32.16MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,[2J[H0335fff64a83,ospf_1,100.16%,27.7MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,af19ebc1b42b,ospf_2,0.15%,21.54MiB / 503.5GiB,0.00%
2024-07-16 05:26:31,18708dc1ae17,ospf_3,100.27%,32.29MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,[2J[H0335fff64a83,ospf_1,100.16%,27.7MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,af19ebc1b42b,ospf_2,0.15%,21.54MiB / 503.5GiB,0.00%
2024-07-16 05:26:31,18708dc1ae17,ospf_3,100.27%,32.29MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,[2J[H0335fff64a83,ospf_1,100.03%,27.7MiB / 503.5GiB,0.01%
2024-07-16 05:26:31,af19ebc1b42b,ospf_2,0.02%,21.54MiB / 503.5GiB,0.00%
