

"Host:","4c7a460da6ef",,,,"User:","root"
"Cmdline:","/usr/bin/dool --more --output /src/ospf/resource/frr_ospf_resource_1to3_1record.csv 1 60",,,,"Date:","05 Jul 2024 10:05:20 UTC"
"total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"procs",,,"load avg",,,"system"
"usr","sys","idl","wai","stl","read","writ","recv","send","used","free","cach","avai","run","blk","new","1m","5m","15m","time"
0.362,0.155,99.483,0.000,0,445366.368,8000207.303,0,0,11983097856,489818296320,19988074496,525152186368,3,0,14.286,4.240,14.740,19.290,Jul-05 10:05:20
0.953,0.516,98.531,0,0,0,1179648,0,0,11981479936,489819910144,19988078592,525153800192,0,0,189,4.240,14.740,19.290,Jul-05 10:05:21
0.758,0.258,98.984,0,0,0,3702784,656,0,11982127104,489819234304,19988107264,525153153024,0,0,60,4.240,14.740,19.290,Jul-05 10:05:21
0.156,0.102,99.742,0,0,0,3768320,656,0,11981643776,489819717632,19988107264,525153636352,0,0,7,3.900,14.490,19.180,Jul-05 10:05:22
0.063,0.063,99.875,0,0,0,65536,0,0,11982065664,489819291648,19988111360,525153210368,4,0,7,3.900,14.490,19.180,Jul-05 10:05:22
0.063,0.063,99.875,0,0,0,1409024,0,0,11981754368,489819602944,19988111360,525153521664,0,0,0,3.900,14.490,19.180,Jul-05 10:05:23
0.047,0.047,99.906,0,0,0,2064384,0,0,11981721600,489819602944,19988144128,525153550336,0,0,0,3.900,14.490,19.180,Jul-05 10:05:23
0.070,0.016,99.914,0,0,0,3244032,0,0,11981635584,489819684864,19988148224,525153636352,0,0,0,3.900,14.490,19.180,Jul-05 10:05:24
0.063,0.023,99.914,0,0,0,2588672,0,0,11981893632,489819426816,19988148224,525153378304,0,0,0,3.900,14.490,19.180,Jul-05 10:05:24
0.063,0.023,99.914,0,0,0,1409024,0,0,11969429504,489831874560,19988164608,525165854720,0,0,0,3.900,14.490,19.180,Jul-05 10:05:25
0.508,0.133,99.359,0,0,0,6553600,0,0,11955548160,489845755904,19988164608,525179736064,3,0,11,3.900,14.490,19.180,Jul-05 10:05:25
8.843,27.181,63.977,0,0,0,2326528,558105408,547644086000,11999838208,489801461760,19988168704,525135450112,53,0,99,3.900,14.490,19.180,Jul-05 10:05:26
11.264,32.847,55.889,0,0,0,1409024,819958368,795130277776,11989692416,489811578880,19988197376,525145600000,59,0,0,8.150,15.200,19.390,Jul-05 10:05:27
11.292,33.227,55.482,0,0,0,2949120,939884256,902710678560,12004380672,489796886528,19988201472,525132845056,51,0,3,8.150,15.200,19.390,Jul-05 10:05:28
11.910,33.781,54.309,0,0,0,1441792,1012208496,962040547664,12005384192,489795842048,19988242432,525129887744,56,0,37,8.150,15.200,19.390,Jul-05 10:05:29
11.186,34.340,54.474,0,0,0,3702784,985246848,954693384896,11999649792,489801580544,19988238336,525135638528,56,0,13,8.150,15.200,19.390,Jul-05 10:05:30
11.394,34.478,54.128,0,0,0,5210112,1023495968,979079833216,12021485568,489779712000,19988271104,525113798656,62,0,29,8.150,15.200,19.390,Jul-05 10:05:31
12.036,33.875,54.089,0,0,0,0,1169072064,1017825678224,12005617664,489795575808,19988275200,525129510912,55,0,0,12.310,15.940,19.610,Jul-05 10:05:32
11.464,34.512,54.024,0,0,0,1966080,1215240576,1052079628608,12029440000,489771728896,19988299776,525105164288,51,0,0,12.310,15.940,19.610,Jul-05 10:05:33
12.329,34.579,53.084,0.008,0,0,2392064,1293406896,1065841934128,12021665792,489779494912,19988307968,525113622528,58,0,23,12.310,15.940,19.610,Jul-05 10:05:34
11.797,34.773,53.430,0,0,0,4915200,1261234560,1071863230592,12078907392,489722220544,19988340736,525056380928,60,0,0,12.310,15.940,19.610,Jul-05 10:05:35
11.801,34.663,53.536,0,0,0,2555904,1284148944,1057652156000,12012052480,489789071360,19988344832,525122547712,57,0,0,12.310,15.940,19.610,Jul-05 10:05:36
11.845,34.366,53.789,0,0,0,1474560,1333880192,1051334409088,12054454272,489746644992,19988369408,525082935296,60,0,3,15.890,16.620,19.810,Jul-05 10:05:37
11.921,34.112,53.967,0,0,0,2949120,1314069696,1035330052768,12036407296,489764683776,19988377600,525098885120,63,0,0,15.890,16.620,19.810,Jul-05 10:05:38
11.979,34.769,53.251,0,0,0,3702784,1335923616,1047839467040,12040515584,489760546816,19988406272,525094776832,58,0,38,15.890,16.620,19.810,Jul-05 10:05:39
11.745,34.406,53.849,0,0,0,3571712,1347222480,1051338616640,12049158144,489751896064,19988414464,525086130176,60,0,0,15.890,16.620,19.810,Jul-05 10:05:40
11.728,34.626,53.646,0,0,0,49741824,1342700912,1048576177872,12028583936,489772425216,19988459520,525106692096,58,0,18,15.890,16.620,19.810,Jul-05 10:05:41
12.118,34.218,53.665,0,0,0,229376,1356570672,1064229752624,12039340032,489761669120,19988459520,525095944192,65,0,3,19.260,17.310,20.010,Jul-05 10:05:42
11.953,34.394,53.653,0,0,0,2129920,1373908368,1052435063728,12024020992,489776955392,19988492288,525111259136,61,0,0,19.260,17.310,20.010,Jul-05 10:05:43
11.539,34.823,53.638,0,0,0,2293760,1393064640,1070447900688,12026855424,489774120960,19988492288,525108424704,61,0,0,19.260,17.310,20.010,Jul-05 10:05:44
12.408,34.286,53.305,0,0,0,2588672,1447223232,1105168718144,12042792960,489758183424,19988492288,525092491264,61,0,57,19.260,17.310,20.010,Jul-05 10:05:45
12.213,35.058,52.729,0,0,0,2359296,1481538624,1136894937712,12045090816,489755852800,19988525056,525090201600,57,0,0,19.260,17.310,20.010,Jul-05 10:05:46
12.016,35.141,52.843,0,0,0,1441792,1467924480,1127730031216,12021927936,489778987008,19988553728,525113360384,57,0,59,22.600,18.040,20.230,Jul-05 10:05:47
12.167,34.799,53.034,0,0,0,3932160,1521101856,1166265330464,12046528512,489754382336,19988557824,525088763904,62,0,0,22.600,18.040,20.230,Jul-05 10:05:48
13.000,34.848,52.152,0,0,0,3801088,1524612672,1174711851280,12027838464,489773031424,19988598784,525107445760,61,0,60,22.600,18.040,20.230,Jul-05 10:05:49
11.744,34.898,53.358,0,0,0,3506176,1514978352,1148502524272,12049760256,489751101440,19988606976,525085515776,58,0,0,22.600,18.040,20.230,Jul-05 10:05:50
11.961,35.112,52.927,0,0,0,37978112,1517783648,1164193746192,12046360576,489754480640,19988627456,525088923648,60,0,21,22.600,18.040,20.230,Jul-05 10:05:51
12.005,34.895,53.100,0,0,0,65536,1531979616,1171244794960,12036628480,489764204544,19988635648,525098651648,59,0,2,25.920,18.800,20.470,Jul-05 10:05:52
11.981,35.062,52.958,0,0,0,2293760,1518599472,1166654482432,12045221888,489755582464,19988664320,525090062336,59,0,0,25.920,18.800,20.470,Jul-05 10:05:53
11.851,35.141,53.008,0,0,0,2293760,1531171920,1173541639408,12030717952,489770086400,19988664320,525104566272,63,0,0,25.920,18.800,20.470,Jul-05 10:05:54
11.899,35.204,52.897,0,0,0,5832704,1518840576,1171344022816,12062240768,489738530816,19988697088,525073047552,64,0,2,25.920,18.800,20.470,Jul-05 10:05:55
12.244,35.082,52.674,0,0,0,2326528,1526156544,1175180847968,12059201536,489741570048,19988697088,525076086784,56,0,0,25.920,18.800,20.470,Jul-05 10:05:56
11.885,34.845,53.269,0,0,0,1441792,1517159424,1155704654176,12041789440,489758953472,19988725760,525093498880,58,0,3,28.650,19.480,20.680,Jul-05 10:05:57
12.137,35.047,52.816,0,0,0,2949120,1540696416,1175700078656,12032958464,489767776256,19988733952,525102329856,59,0,0,28.650,19.480,20.680,Jul-05 10:05:58
