

"Host:","f71b89c3ad7a",,,,"User:","root"
"Cmdline:","/usr/bin/dool --more --output /src/ospf/resource/frr_ospf_resource_1to3_2record.csv 1 60",,,,"Date:","05 Jul 2024 10:05:20 UTC"
"total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"procs",,,"load avg",,,"system"
"usr","sys","idl","wai","stl","read","writ","recv","send","used","free","cach","avai","run","blk","new","1m","5m","15m","time"
0.362,0.155,99.483,0.000,0,445366.307,8000206.210,0,0,11991089152,489810305024,19988074496,525144195072,3,0,14.286,4.240,14.740,19.290,Jul-05 10:05:20
0.914,0.477,98.609,0,0,0,1179648,0,1312,11981676544,489819713536,19988078592,525153603584,0,0,162,4.240,14.740,19.290,Jul-05 10:05:21
0.672,0.227,99.102,0,0,0,3702784,0,1312,11982127104,489819234304,19988107264,525153153024,1,0,41,3.900,14.490,19.180,Jul-05 10:05:21
0.149,0.086,99.765,0,0,0,3768320,0,0,11981643776,489819717632,19988107264,525153636352,0,0,7,3.900,14.490,19.180,Jul-05 10:05:22
0.063,0.070,99.867,0,0,0,65536,0,0,11982065664,489819291648,19988111360,525153210368,1,0,7,3.900,14.490,19.180,Jul-05 10:05:22
0.063,0.055,99.883,0,0,0,1474560,0,0,11981754368,489819602944,19988111360,525153521664,0,0,0,3.900,14.490,19.180,Jul-05 10:05:23
0.047,0.031,99.922,0,0,0,2064384,0,0,11981721600,489819602944,19988144128,525153550336,2,0,0,3.900,14.490,19.180,Jul-05 10:05:23
0.063,0.016,99.922,0,0,0,3178496,560,0,11981635584,489819684864,19988148224,525153636352,0,0,0,3.900,14.490,19.180,Jul-05 10:05:24
0.070,0.023,99.906,0,0,0,2588672,560,0,11981881344,489819439104,19988148224,525153390592,0,0,0,3.900,14.490,19.180,Jul-05 10:05:24
0.422,0.094,99.484,0,0,0,1409024,0,0,11961749504,489839554560,19988164608,525173534720,0,0,0,3.900,14.490,19.180,Jul-05 10:05:25
0.531,0.148,99.320,0,0,0,6553600,0,0,11955548160,489845755904,19988164608,525179736064,0,0,11,3.900,14.490,19.180,Jul-05 10:05:25
