"dool 1.3.3 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","1e6a4f507f5a",,,,"User:","root"
"Cmdline:","/usr/bin/dool --more --output /src/ospf/resource/frr_ospf_resource_1to3_3record.csv 1 60",,,,"Date:","05 Jul 2024 10:03:30 UTC"
"total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"procs",,,"load avg",,,"system"
"usr","sys","idl","wai","stl","read","writ","recv","send","used","free","cach","avai","run","blk","new","1m","5m","15m","time"
0.362,0.155,99.483,0.000,0,445478.186,7998738.098,0,0,12049698816,489749082112,19990581248,525085536256,3,0,14.285,11.010,19.830,21.300,Jul-05 10:03:30
1.157,0.422,98.421,0,0,0,3899392,656,0,12052918272,489745891328,19990618112,525082300416,0,0,92,11.010,19.830,21.300,Jul-05 10:03:31
1.660,0.063,98.277,0,0,0,2359296,0,0,12049305600,489749495808,19990626304,525085908992,0,0,7,10.130,19.500,21.190,Jul-05 10:03:32
0.063,0.023,99.914,0,0,0,4292608,0,0,12048584704,489750188032,19990654976,525086629888,0,0,0,10.130,19.500,21.190,Jul-05 10:03:33
0.235,0.047,99.719,0,0,0,3440640,0,560,12048306176,489750462464,19990659072,525086908416,0,0,0,10.130,19.500,21.190,Jul-05 10:03:34
0.141,0.133,99.726,0,0,0,13402112,0,0,12047941632,489750827008,19990659072,525087293440,0,0,11,10.130,19.500,21.190,Jul-05 10:03:35
0.094,0.094,99.812,0,0,0,4161536,0,0,12046442496,489752301568,19990683648,525088788480,0,0,40,10.130,19.500,21.190,Jul-05 10:03:36
0.039,0.031,99.930,0,0,0,2621440,0,656,12045135872,489753579520,19990712320,525090095104,0,0,0,9.320,19.180,21.070,Jul-05 10:03:37
0.437,0.094,99.469,0,0,0,53870592,0,0,12044075008,489754640384,19990712320,525091155968,0,0,0,9.320,19.180,21.070,Jul-05 10:03:38
0.250,0.141,99.609,0,0,0,3735552,0,0,12055699456,489742983168,19990745088,525079531520,2,0,37,9.320,19.180,21.070,Jul-05 10:03:39
0.258,0.141,99.601,0,0,0,3571712,0,0,12045844480,489752834048,19990749184,525089386496,0,0,11,9.320,19.180,21.070,Jul-05 10:03:40
0.297,0.086,99.617,0,0,0,3735552,656,0,12044435456,489754238976,19990749184,525090795520,7,0,22,9.320,19.180,21.070,Jul-05 10:03:41
0.070,0.031,99.898,0,0,0,196608,0,0,12043747328,489754890240,19990786048,525091479552,0,0,0,8.570,18.860,20.960,Jul-05 10:03:42
0.063,0.039,99.898,0,0,0,1998848,0,0,12043603968,489755004928,19990814720,525091622912,0,0,0,8.570,18.860,20.960,Jul-05 10:03:43
0.102,0.070,99.828,0,0,0,2424832,560,0,12044361728,489754243072,19990818816,525090869248,0,0,55,8.570,18.860,20.960,Jul-05 10:03:44
0.703,0.164,99.133,0,0,0,2588672,0,0,12051828736,489746751488,19990843392,525083406336,1,0,1,8.570,18.860,20.960,Jul-05 10:03:45
0.916,0.196,98.889,0,0,0,2359296,0,0,12037484544,489761083392,19990855680,525097746432,0,0,77,8.570,18.860,20.960,Jul-05 10:03:46
0.219,0.102,99.680,0,0,0,1409024,0,656,12038934528,489759604736,19990884352,525096296448,0,0,0,7.890,18.540,20.850,Jul-05 10:03:47
0.047,0.031,99.922,0,0,0,3309568,0,0,12038746112,489759793152,19990884352,525096488960,0,0,0,7.890,18.540,20.850,Jul-05 10:03:48
0.767,0.149,99.085,0,0,0,3702784,0,0,12049256448,489749254144,19990913024,525085986816,2,0,38,7.890,18.540,20.850,Jul-05 10:03:49
0.313,0.117,99.570,0,0,0,16744448,0,0,12038586368,489747709952,20003127296,525097676800,1,0,2,7.890,18.540,20.850,Jul-05 10:03:50
0.188,0.133,99.679,0,0,0,331808768,656,0,12033359872,489765982208,19990081536,525101867008,0,0,19,7.890,18.540,20.850,Jul-05 10:03:51
0.188,0.039,99.773,0,0,0,3670016,0,0,12032835584,489766502400,19990085632,525102391296,0,0,0,7.330,18.250,20.740,Jul-05 10:03:52
0.273,0.227,99.500,0,0,0,3080192,0,0,12032950272,489766379520,19990093824,525102268416,0,0,0,7.330,18.250,20.740,Jul-05 10:03:53
0.242,0.039,99.719,0,0,0,3702784,0,0,12029399040,489769902080,19990122496,525105819648,0,0,2,7.330,18.250,20.740,Jul-05 10:03:54
0.235,0.047,99.719,0,0,0,3670016,0,0,12026146816,489773125632,19990151168,525109116928,1,0,2,7.330,18.250,20.740,Jul-05 10:03:55
0.211,0.086,99.703,0,0,0,3604480,0,0,12025798656,489773473792,19990151168,525109465088,2,0,0,7.330,18.250,20.740,Jul-05 10:03:56
0.086,0.110,99.804,0,0,0,1933312,0,656,12023930880,489775341568,19990151168,525111250944,0,0,0,7.070,18.020,20.650,Jul-05 10:03:57
0.164,0.039,99.797,0,0,0,4521984,0,0,12023951360,489775284224,19990188032,525111226368,0,0,0,7.070,18.020,20.650,Jul-05 10:03:58
0.250,0.125,99.625,0,0,0,2326528,0,0,12037541888,489761656832,19990224896,525097631744,2,0,37,7.070,18.020,20.650,Jul-05 10:03:59
1.549,0.282,98.169,0,0,0,5668864,0,0,12030435328,489768787968,19990233088,525104738304,0,0,4,7.070,18.020,20.650,Jul-05 10:04:00
0.626,0.125,99.249,0,0,0,5832704,656,0,12025688064,489773510656,19990257664,525109481472,11,0,42,7.070,18.020,20.650,Jul-05 10:04:01
1.682,0.141,98.178,0,0,0,0,0,0,12026232832,489772953600,19990269952,525108940800,1,0,0,6.500,17.720,20.540,Jul-05 10:04:02
0.055,0.047,99.898,0,0,0,4423680,0,0,12025819136,489773367296,19990269952,525109350400,0,0,0,6.500,17.720,20.540,Jul-05 10:04:03
0.250,0.031,99.718,0,0,0,3964928,0,0,12024938496,489774211072,19990306816,525110226944,0,0,0,6.500,17.720,20.540,Jul-05 10:04:04
0.109,0.023,99.867,0,0,0,3735552,0,0,12023750656,489775370240,19990335488,525111422976,0,0,0,6.500,17.720,20.540,Jul-05 10:04:05
0.500,0.086,99.414,0,0,0,3637248,0,0,12022411264,489776709632,19990335488,525112770560,0,0,0,6.500,17.720,20.540,Jul-05 10:04:06
0.055,0.023,99.922,0,0,0,3571712,0,656,12021964800,489777131520,19990360064,525113217024,0,0,0,6.060,17.440,20.430,Jul-05 10:04:07
0.094,0.078,99.828,0,0,0,4489216,0,0,12020666368,489778425856,19990364160,525114515456,0,0,0,6.060,17.440,20.430,Jul-05 10:04:08
0.211,0.125,99.664,0,0,0,37912576,0,0,12027269120,489771786240,19990401024,525107908608,2,0,35,6.060,17.440,20.430,Jul-05 10:04:09
0.250,0.102,99.648,0,0,0,3670016,0,0,12023169024,489775874048,19990413312,525112000512,0,0,2,6.060,17.440,20.430,Jul-05 10:04:10
0.180,0.094,99.726,0,0,0,3735552,656,0,12020174848,489778835456,19990446080,525114994688,3,0,19,6.060,17.440,20.430,Jul-05 10:04:11
0.070,0.039,99.891,0,0,0,32768,0,0,12017807360,489781202944,19990446080,525117362176,0,0,0,5.580,17.150,20.320,Jul-05 10:04:12
0.399,0.156,99.445,0,0,0,1998848,0,0,12016906240,489782067200,19990482944,525118255104,0,0,0,5.580,17.150,20.320,Jul-05 10:04:13
0.109,0.086,99.805,0,0,0,2621440,0,0,12017889280,489781075968,19990491136,525117267968,0,0,56,5.580,17.150,20.320,Jul-05 10:04:14
0.547,0.055,99.398,0,0,0,2621440,0,0,12016336896,489782628352,19990491136,525118820352,0,0,1,5.580,17.150,20.320,Jul-05 10:04:15
0.289,0.164,99.546,0,0,0,2424832,0,0,12022304768,489776631808,19990519808,525112877056,1,0,1,5.580,17.150,20.320,Jul-05 10:04:16
0.672,0.305,99.023,0,0,0,3702784,0,656,12017967104,489780940800,19990548480,525117214720,0,0,77,5.370,16.910,20.230,Jul-05 10:04:17
0.063,0.031,99.906,0,0,0,2981888,0,0,12016033792,489782865920,19990556672,525119148032,0,0,0,5.370,16.910,20.230,Jul-05 10:04:18
0.391,0.102,99.507,0,0,0,3735552,0,0,12029566976,489769295872,19990593536,525105610752,2,0,35,5.370,16.910,20.230,Jul-05 10:04:19
0.321,0.125,99.554,0,0,0,3801088,0,0,12021882880,489776984064,19990589440,525113298944,0,0,17,5.370,16.910,20.230,Jul-05 10:04:20
0.219,0.086,99.695,0,0,0,3801088,656,0,12018020352,489780834304,19990601728,525117157376,0,0,18,5.370,16.910,20.230,Jul-05 10:04:21
0.953,0.078,98.969,0,0,0,32768,0,0,12017180672,489781649408,19990626304,525118005248,0,0,0,5.020,16.650,20.130,Jul-05 10:04:22
0.063,0.039,99.898,0,0,0,3112960,0,0,12016963584,489781866496,19990626304,525118222336,0,0,0,5.020,16.650,20.130,Jul-05 10:04:23
0.070,0.023,99.906,0,0,0,2883584,0,0,12016152576,489782648832,19990654976,525119029248,0,0,0,5.020,16.650,20.130,Jul-05 10:04:24
0.102,0.023,99.875,0,0,0,2785280,0,0,12016230400,489782542336,19990683648,525118951424,0,0,0,5.020,16.650,20.130,Jul-05 10:04:25
1.410,0.509,98.081,0,0,0,2359296,0,0,12045406208,489753378816,19990671360,525089779712,1,0,214,5.020,16.650,20.130,Jul-05 10:04:26
0.219,0.141,99.640,0,0,0,1376256,0,656,12046372864,489752371200,19990712320,525088784384,0,0,11,9.340,17.350,20.340,Jul-05 10:04:27
0.102,0.039,99.859,0,0,0,2949120,0,0,12044664832,489754066944,19990724608,525090500608,0,0,7,9.340,17.350,20.340,Jul-05 10:04:28
0.516,0.102,99.382,0,0,0,1409024,0,0,12046135296,489752563712,19990757376,525089030144,2,0,34,9.340,17.350,20.340,Jul-05 10:04:29
,5.020,16.650,20.130,Jul-05 10:04:26
0.406,0.266,99.328,0,0,0,1376256,0,656,12046372864,489752371200,19990712320,525088784384,0,0,73,9.340,17.350,20.340,Jul-05 10:04:27
0.102,0.039,99.859,0,0,0,2359296,0,0,12044922880,489753808896,19990724608,525090242560,0,0,7,9.340,17.350,20.340,Jul-05 10:04:28
0.375,0.031,99.593,0,0,0,1998848,0,0,12043067392,489755660288,19990728704,525092098048,0,0,0,9.340,17.350,20.340,Jul-05 10:04:29
0.391,0.219,99.390,0,0,0,2424832,0,0,11998560256,489800138752,19990757376,525136605184,1,0,36,9.340,17.350,20.340,Jul-05 10:04:30
0.250,0.141,99.601,0.008,0,0,5636096,0,0,12008624128,489790070784,19990761472,525126557696,1,0,19,9.340,17.350,20.340,Jul-05 10:04:31
