

"Host:","5fa62329fc8c",,,,"User:","root"
"Cmdline:","/usr/bin/dool --more --output /src/frr_ospf_resource_1to3_record.csv 1 60",,,,"Date:","03 Jul 2024 05:52:16 UTC"
"total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"procs",,,"load avg",,,"system"
"usr","sys","idl","wai","stl","read","writ","recv","send","used","free","cach","avai","run","blk","new","1m","5m","15m","time"
0.315,0.108,99.577,0.000,0,774033.408,7530224.030,0,0,10396114944,493195988992,18418147328,526739320832,1,0,13.508,0.980,1.030,0.950,Jul-03 05:52:16
0.234,0.328,99.438,0,0,0,6651904,0,0,10410409984,493181538304,18418188288,526725013504,0,0,78,0.980,1.030,0.950,Jul-03 05:52:17
0.469,0.063,99.469,0,0,0,66224128,0,0,10410987520,493180956672,18418192384,526724435968,0,0,7,0.980,1.030,0.950,Jul-03 05:52:18
0.399,0.156,99.445,0,0,0,2621440,0,0,10409275392,493182640128,18418221056,526726144000,0,0,50,0.980,1.030,0.950,Jul-03 05:52:19
0.063,0.039,99.891,0.008,0,0,2392064,0,0,10408960000,493182955520,18418221056,526726467584,0,0,0,0.980,1.030,0.950,Jul-03 05:52:20
0.766,0.188,99.046,0,0,0,8323072,0,656,10414022656,493177868288,18418245632,526721417216,0,0,31,0.900,1.010,0.940,Jul-03 05:52:21
0.485,1.009,98.506,0,0,0,2293760,22125350288,13213408,10424492032,493164716032,18420871168,526710943744,2,0,34,0.900,1.010,0.940,Jul-03 05:52:22
0.524,1.212,98.264,0,0,0,1409024,36470484832,41848752,10426060800,493163118592,18420899840,526709374976,2,0,55,0.900,1.010,0.940,Jul-03 05:52:23
0.438,1.181,98.381,0,0,0,3571712,38452658560,57951168,10425544704,493163630592,18420903936,526709891072,2,0,0,0.900,1.010,0.940,Jul-03 05:52:24
0.540,1.220,98.241,0,0,0,1376256,44420700736,42251088,10428092416,493161050112,18420936704,526707224576,2,0,0,0.900,1.010,0.940,Jul-03 05:52:25
0.594,1.330,98.076,0,0,0,3145728,53678929056,39856608,10430959616,493158146048,18420940800,526704357376,2,0,13,0.990,1.020,0.950,Jul-03 05:52:26
0.532,1.157,98.311,0,0,0,6750208,53681029056,39794640,10430263296,493158813696,18420969472,526705053696,2,0,11,0.990,1.020,0.950,Jul-03 05:52:27
0.618,1.087,98.296,0,0,0,2424832,53678921856,39737280,10430062592,493159010304,18420973568,526705254400,2,0,0,0.990,1.020,0.950,Jul-03 05:52:28
1.189,1.338,97.473,0,0,0,330432512,53172744944,41345040,10435153920,493154549760,18420310016,526699462656,2,0,36,0.990,1.020,0.950,Jul-03 05:52:29
1.158,1.229,97.613,0,0,0,3407872,53628527264,42049392,10439901184,493149798400,18420314112,526695411712,2,0,23,0.990,1.020,0.950,Jul-03 05:52:30
0.806,1.290,97.904,0,0,0,6160384,53639544128,42249632,10442022912,493147643904,18420346880,526693330944,2,0,19,1.070,1.040,0.950,Jul-03 05:52:31
0.540,1.173,98.287,0,0,0,3702784,53614346832,42099024,10443423744,493146234880,18420355072,526691926016,2,0,0,1.070,1.040,0.950,Jul-03 05:52:32
0.438,1.227,98.335,0,0,0,1900544,53707804528,41885712,10441781248,493147852800,18420379648,526692880384,2,0,0,1.070,1.040,0.950,Jul-03 05:52:33
0.407,1.212,98.381,0,0,0,5439488,53726185600,42024048,10441519104,493148110848,18420383744,526693830656,2,0,0,1.070,1.040,0.950,Jul-03 05:52:34
0.790,1.173,98.038,0,0,0,3342336,53629568240,41999760,10442526720,493147066368,18420420608,526692814848,2,0,0,1.070,1.040,0.950,Jul-03 05:52:35
0.532,1.188,98.280,0,0,0,5046272,53693109488,42038832,10442854400,493146734592,18420424704,526692483072,2,0,0,1.150,1.060,0.960,Jul-03 05:52:36
0.477,1.189,98.334,0,0,0,6651904,53723556928,41829744,10443055104,493146501120,18420457472,526691594240,2,0,0,1.150,1.060,0.960,Jul-03 05:52:37
0.485,1.197,98.319,0,0,0,3866624,53649002112,42249504,10442084352,493147471872,18420457472,526693257216,2,0,0,1.150,1.060,0.960,Jul-03 05:52:38
0.743,1.244,98.013,0,0,0,4816896,53745610288,42184560,10446114816,493143400448,18420498432,526689222656,2,0,38,1.150,1.060,0.960,Jul-03 05:52:39
0.477,1.197,98.326,0,0,0,4784128,53884759760,41596896,10445320192,493144195072,18420498432,526690021376,2,0,0,1.150,1.060,0.960,Jul-03 05:52:40
0.665,1.235,98.100,0,0,0,7995392,53887910240,41733248,10440912896,493148569600,18420531200,526693744640,2,0,21,1.450,1.120,0.980,Jul-03 05:52:41
0.658,1.206,98.136,0,0,0,4227072,53854316912,41401824,10441547776,493147930624,18420535296,526693801984,2,0,0,1.450,1.120,0.980,Jul-03 05:52:42
0.461,1.181,98.358,0,0,0,2654208,53976652032,41373024,10440691712,493148749824,18420572160,526693961728,2,0,0,1.450,1.120,0.980,Jul-03 05:52:43
1.087,1.165,97.748,0,0,0,6389760,53934110736,41504496,10441465856,493147971584,18420576256,526693875712,2,0,0,1.450,1.120,0.980,Jul-03 05:52:44
0.860,1.228,97.912,0,0,0,2457600,53878465344,41848752,10441326592,493148082176,18420604928,526694010880,2,0,23,1.450,1.120,0.980,Jul-03 05:52:45
0.587,1.338,98.075,0,0,0,4718592,53845376144,41863008,10444054528,493145346048,18420613120,526691287040,2,0,55,1.740,1.190,1,Jul-03 05:52:46
0.711,1.227,98.061,0,0,0,5570560,53923615680,41634384,10444075008,493145292800,18420645888,526691270656,2,0,0,1.740,1.190,1,Jul-03 05:52:47
0.485,1.149,98.366,0,0,0,3670016,53979274160,41409456,10443849728,493145513984,18420649984,526691500032,2,0,1,1.740,1.190,1,Jul-03 05:52:48
0.735,1.352,97.913,0,0,0,55083008,54023909232,41748432,10443231232,493146124288,18420649984,526692118528,2,0,39,1.740,1.190,1,Jul-03 05:52:49
0.485,1.189,98.326,0,0,0,2359296,53613818480,38348112,10448875520,493140443136,18420686848,526686470144,2,0,0,1.740,1.190,1,Jul-03 05:52:50
0.876,1.306,97.818,0,0,0,4292608,53814399040,39495584,10448773120,493140516864,18420715520,526686580736,2,0,19,1.760,1.200,1.010,Jul-03 05:52:51
0.501,1.298,98.201,0,0,0,2424832,53862706400,39431568,10448556032,493140729856,18420719616,526686797824,2,0,0,1.760,1.200,1.010,Jul-03 05:52:52
0.493,1.212,98.296,0,0,0,1376256,53896833328,39583104,10450354176,493138907136,18420744192,526684999680,2,0,56,1.760,1.200,1.010,Jul-03 05:52:53
0.422,1.196,98.382,0,0,0,3702784,53877936992,39568848,10449747968,493139509248,18420748288,526685605888,2,0,0,1.760,1.200,1.010,Jul-03 05:52:54
0.578,1.125,98.296,0,0,0,1376256,53888960400,39710880,10449829888,493139402752,18420772864,526685523968,2,0,2,1.760,1.200,1.010,Jul-03 05:52:55
0.610,1.290,98.100,0,0,0,2949120,53748233072,38263632,10449924096,493139304448,18420776960,526685429760,3,0,0,1.860,1.230,1.020,Jul-03 05:52:56
0.477,1.173,98.350,0,0,0,3768320,53910491952,41486544,10450173952,493139021824,18420809728,526685179904,2,0,0,1.860,1.230,1.020,Jul-03 05:52:57
0.563,1.236,98.201,0,0,0,2424832,53978224000,40960128,10448666624,493140525056,18420813824,526686687232,2,0,0,1.860,1.230,1.020,Jul-03 05:52:58
1.211,1.391,97.398,0,0,0,4915200,54001357152,40801776,10445701120,493143457792,18420846592,526690709504,2,0,38,1.860,1.230,1.020,Jul-03 05:52:59
0.586,1.282,98.132,0,0,0,3342336,53930438448,41115888,10446417920,493142740992,18420846592,526688247808,2,0,0,1.860,1.230,1.020,Jul-03 05:53:00
1.767,1.290,96.943,0,0,0,4358144,53448949904,40697312,10442948608,493146169344,18420887552,526692405248,2,0,41,1.950,1.260,1.030,Jul-03 05:53:01
0.532,1.204,98.264,0,0,0,2392064,53824372288,40606896,10444447744,493144666112,18420891648,526690906112,2,0,0,1.950,1.260,1.030,Jul-03 05:53:02
