Connecting to host 192.168.1.2, port 5201
[  5] local 192.168.2.5 port 55378 connected to 192.168.1.2 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  2.38 GBytes  20.4 Gbits/sec    0    540 KBytes       
[  5]   1.00-2.00   sec  2.52 GBytes  21.6 Gbits/sec    0   1011 KBytes       
[  5]   2.00-3.00   sec  3.69 GBytes  31.7 Gbits/sec    0   1.36 MBytes       
[  5]   3.00-4.00   sec  3.62 GBytes  31.1 Gbits/sec   45   1.89 MBytes       
[  5]   4.00-5.00   sec  3.13 GBytes  26.9 Gbits/sec    0   1.89 MBytes       
[  5]   5.00-6.00   sec  3.38 GBytes  29.0 Gbits/sec   45   1.89 MBytes       
[  5]   6.00-7.00   sec  3.70 GBytes  31.8 Gbits/sec    0   1.89 MBytes       
[  5]   7.00-8.00   sec  3.68 GBytes  31.6 Gbits/sec    0   1.89 MBytes       
[  5]   8.00-9.00   sec  3.19 GBytes  27.4 Gbits/sec    0   1.91 MBytes       
[  5]   9.00-10.00  sec  3.19 GBytes  27.4 Gbits/sec    0   1.91 MBytes       
[  5]  10.00-11.00  sec  3.19 GBytes  27.4 Gbits/sec    0   1.91 MBytes       
[  5]  11.00-12.00  sec  3.35 GBytes  28.8 Gbits/sec    0   1.98 MBytes       
[  5]  12.00-13.00  sec  3.70 GBytes  31.8 Gbits/sec    0   1.98 MBytes       
[  5]  13.00-14.00  sec  3.70 GBytes  31.8 Gbits/sec    0   1.98 MBytes       
[  5]  14.00-15.00  sec  3.70 GBytes  31.8 Gbits/sec    0   1.98 MBytes       
[  5]  15.00-16.00  sec  3.68 GBytes  31.6 Gbits/sec    0   1.98 MBytes       
[  5]  16.00-17.00  sec  3.68 GBytes  31.6 Gbits/sec    0   2.70 MBytes       
[  5]  17.00-18.00  sec  3.64 GBytes  31.3 Gbits/sec    0   2.70 MBytes       
[  5]  18.00-19.00  sec  3.17 GBytes  27.2 Gbits/sec    0   2.70 MBytes       
[  5]  19.00-20.00  sec  3.28 GBytes  28.2 Gbits/sec    0   2.70 MBytes       
[  5]  20.00-21.00  sec  3.67 GBytes  31.5 Gbits/sec    0   2.70 MBytes       
[  5]  21.00-22.00  sec  3.69 GBytes  31.7 Gbits/sec    0   2.70 MBytes       
[  5]  22.00-23.00  sec  3.22 GBytes  27.7 Gbits/sec   45   4.78 MBytes       
[  5]  23.00-24.00  sec  3.17 GBytes  27.2 Gbits/sec   51   4.78 MBytes       
[  5]  24.00-25.00  sec  3.71 GBytes  31.9 Gbits/sec    0   4.78 MBytes       
[  5]  25.00-26.00  sec  3.69 GBytes  31.7 Gbits/sec    0   4.78 MBytes       
[  5]  26.00-27.00  sec  3.68 GBytes  31.6 Gbits/sec    0   4.78 MBytes       
[  5]  27.00-28.00  sec  3.68 GBytes  31.6 Gbits/sec    0   4.78 MBytes       
[  5]  28.00-29.00  sec  3.67 GBytes  31.5 Gbits/sec    0   4.78 MBytes       
[  5]  29.00-30.00  sec  3.66 GBytes  31.4 Gbits/sec    0   4.78 MBytes       
[  5]  30.00-31.00  sec  3.68 GBytes  31.6 Gbits/sec    0   4.78 MBytes       
[  5]  31.00-32.00  sec  3.68 GBytes  31.7 Gbits/sec    0   4.78 MBytes       
[  5]  32.00-33.00  sec  3.55 GBytes  30.5 Gbits/sec    0   4.78 MBytes       
[  5]  33.00-34.00  sec  3.29 GBytes  28.2 Gbits/sec   45   4.78 MBytes       
[  5]  34.00-35.00  sec  3.33 GBytes  28.6 Gbits/sec    0   4.78 MBytes       
[  5]  35.00-36.00  sec  3.15 GBytes  27.0 Gbits/sec    0   4.78 MBytes       
[  5]  36.00-37.00  sec  3.59 GBytes  30.9 Gbits/sec    0   4.78 MBytes       
